Id	prop1	chance1	par1	*skillname1	min1	max1	prop2	chance2	par2	*skillname2	min2	max2	prop3	chance3	par3	*skillname3	min3	max3	prop4	chance4	par4	*skillname4	min4	max4	prop5	chance5	par5	*skillname5	min5	max5	prop6	chance6	par6	*skillname6	min6	max6	prop1 (N)	chance1 (N)	par1 (N)	*skillname1 (N)	min1 (N)	max1 (N)	prop2 (N)	chance2 (N)	par2 (N)	*skillname2 (N)	min2 (N)	max2 (N)	prop3 (N)	chance3 (N)	par3 (N)	*skillname3 (N)	min3 (N)	max3 (N)	prop4 (N)	chance4 (N)	par4 (N)	*skillname4 (N)	min4 (N)	max4 (N)	prop5 (N)	chance5 (N)	par5 (N)	*skillname5 (N)	min5 (N)	max5 (N)	prop6 (N)	chance6 (N)	par6 (N)	*skillname6 (N)	min6 (N)	max6 (N)	prop1 (H)	chance1 (H)	par1 (H)	*skillname1 (H)	min1 (H)	max1 (H)	prop2 (H)	chance2 (H)	par2 (H)	*skillname2 (H)	min2 (H)	max2 (H)	prop3 (H)	chance3 (H)	par3 (H)	*skillname3 (H)	min3 (H)	max3 (H)	prop4 (H)	chance4 (H)	par4 (H)	*skillname4 (H)	min4 (H)	max4 (H)	prop5 (H)	chance5 (H)	par5 (H)	*skillname5 (H)	min5 (H)	max5 (H)	prop6 (H)	chance6 (H)	par6 (H)	*skillname6 (H)	min6 (H)	max6 (H)	*eol
broodmother	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	death-skill		639	Fists of Fire	100	1	death-skill		639	Fists of Fire	75	1	death-skill		639	Fists of Fire	75	1	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	death-skill		639	Fists of Fire	100	1	death-skill		639	Fists of Fire	75	1	death-skill		639	Fists of Fire	75	1	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	death-skill		639	Fists of Fire	100	1	death-skill		639	Fists of Fire	75	1	death-skill		639	Fists of Fire	75	1	0
devourer	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	swing2				200	200	crush				100	100							monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	swing2				200	200	crush				100	100							monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	swing2				200	200	crush				100	100							0
rabidgrizzlybear	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	takedmg-skill		145	Rabid Buff Mon Uber	3	1	crush				50	50	gethit-skill		145	Rabid Buff Mon Uber	10	1	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	takedmg-skill		145	Rabid Buff Mon Uber	3	1	crush				50	50	gethit-skill		145	Rabid Buff Mon Uber	10	1	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	takedmg-skill		145	Rabid Buff Mon Uber	3	1	crush				50	50	gethit-skill		145	Rabid Buff Mon Uber	10	1	0
soulreaper	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250																			monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250																			monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250																			0
incinerator	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	pierce-fire				50	50													monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	pierce-fire				50	50													monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	pierce-fire				50	50													0
cryogenator	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	pierce-cold				50	50													monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	pierce-cold				50	50													monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	pierce-cold				50	50													0
ancientwarlord	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	takedmg-skill		147	Charge Buff Mon Uber	1	1													monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	takedmg-skill		147	Charge Buff Mon Uber	1	1													monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	takedmg-skill		147	Charge Buff Mon Uber	1	1													0
bonecolossus	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	death-skill		148	Bone Spear Nova Death Mon Uber	100	1													monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	death-skill		148	Bone Spear Nova Death Mon Uber	100	1													monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	death-skill		148	Bone Spear Nova Death Mon Uber	100	1													0
regenerator	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	takedmg-skill		149	Movement Speed Buff Mon Uber	5	1	takedmg-skill		150	Damage Buff Mon Uber	5	1	takedmg-skill		151	Attack Speed Buff Mon Uber	5	1	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	takedmg-skill		149	Movement Speed Buff Mon Uber	5	1	takedmg-skill		150	Damage Buff Mon Uber	5	1	takedmg-skill		151	Attack Speed Buff Mon Uber	5	1	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	takedmg-skill		149	Movement Speed Buff Mon Uber	5	1	takedmg-skill		150	Damage Buff Mon Uber	5	1	takedmg-skill		151	Attack Speed Buff Mon Uber	5	1	0
cursedabomination	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	pierce-pois				50	50													monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	pierce-pois				50	50													monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	pierce-pois				50	50													0
netherreaver	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	pierce-fire				50	50	pierce-cold				50	50	pierce-ltng				50	50	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	pierce-fire				50	50	pierce-cold				50	50	pierce-ltng				50	50	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	pierce-fire				50	50	pierce-cold				50	50	pierce-ltng				50	50	0
deathshot	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	hit-skill		495	Amplify Damage	25	35													monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	hit-skill		495	Amplify Damage	25	35													monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	hit-skill		495	Amplify Damage	25	35													0
doomspine	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	crush				50	50	deadly				50	50	pierce				100	100	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	crush				50	50	deadly				50	50	pierce				100	100	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	crush				50	50	deadly				50	50	pierce				100	100	0
medusahellhound	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	hit-skill		227	Medusa Petrify Mon Uber	100	1													monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	hit-skill		227	Medusa Petrify Mon Uber	100	1													monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	hit-skill		227	Medusa Petrify Mon Uber	100	1													0
goblintechies	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	death-skill		266	Fire Explosion Mon	100	1													monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	death-skill		266	Fire Explosion Mon	100	1													monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	death-skill		266	Fire Explosion Mon	100	1													0
diablohellhound	att-skill		142	Meteor Mon Uber	50	1	att-skill		143	Frozen Orb Mon Uber	50	1	att-skill		664	Bone Spirit Boss Mon Uber	50	1	att-skill		663	Boss Petrify Mon Uber	50	1	death-skill		811	Just Killed Boss	100	51						1	att-skill		142	Meteor Mon Uber	50	1	att-skill		143	Frozen Orb Mon Uber	50	1	att-skill		664	Bone Spirit Boss Mon Uber	50	1	att-skill		663	Boss Petrify Mon Uber	50	1	death-skill		811	Just Killed Boss	100	51						1	att-skill		142	Meteor Mon Uber	50	1	att-skill		143	Frozen Orb Mon Uber	50	1	att-skill		664	Bone Spirit Boss Mon Uber	50	1	att-skill		663	Boss Petrify Mon Uber	50	1	death-skill		811	Just Killed Boss	100	51							0
ancientfallenangel	haste				50	50	takedmg-skill		666	Plasma Rain Boss Mon Uber	1	1	att-skill		666	Plasma Rain Boss Mon Uber	25	1	takedmg-skill		151	Attack Speed Buff Mon Uber	10	1	death-skill		811	Just Killed Boss	100	52						1	haste				50	50	takedmg-skill		666	Plasma Rain Boss Mon Uber	1	1	att-skill		666	Plasma Rain Boss Mon Uber	25	1	takedmg-skill		151	Attack Speed Buff Mon Uber	10	1	death-skill		811	Just Killed Boss	100	52						1	haste				50	50	takedmg-skill		666	Plasma Rain Boss Mon Uber	1	1	att-skill		666	Plasma Rain Boss Mon Uber	25	1	takedmg-skill		151	Attack Speed Buff Mon Uber	10	1	death-skill		811	Just Killed Boss	100	52							0
lucionwhisper	haste				50	50	takedmg-skill		479	Teleport	1	20	death-skill		811	Just Killed Boss	100	50	gethit-skill		479	Teleport	2	20													haste				50	50	takedmg-skill		479	Teleport	1	20	death-skill		811	Just Killed Boss	100	50	gethit-skill		479	Teleport	2	20													haste				50	50	takedmg-skill		479	Teleport	1	20	death-skill		811	Just Killed Boss	100	50	gethit-skill		479	Teleport	2	20													0
terrorintheshadows	haste				50	50	takedmg-skill		147	Charge Buff Mon Uber	5	1	death-skill		759	Extra Loot Uber Map Boss	100	1	death-skill		811	Just Killed Boss	100	53													haste				50	50	takedmg-skill		147	Charge Buff Mon Uber	5	1	death-skill		759	Extra Loot Uber Map Boss	100	1	death-skill		811	Just Killed Boss	100	53													haste				50	50	takedmg-skill		147	Charge Buff Mon Uber	5	1	death-skill		759	Extra Loot Uber Map Boss	100	1	death-skill		811	Just Killed Boss	100	53													0
spiderling	haste				50	50	death-skill		671	Poison Explosion Mon Uber	100	1																									haste				50	50	death-skill		671	Poison Explosion Mon Uber	100	1																									haste				50	50	death-skill		671	Poison Explosion Mon Uber	100	1																									0
avatarofthenight	haste				100	100	crush				100	100	takedmg-skill		675	Converging Cold Boss Mon Uber	1	1	death-skill		759	Extra Loot Uber Map Boss	100	1	death-skill		811	Just Killed Boss	100	54						1	haste				100	100	crush				100	100	takedmg-skill		675	Converging Cold Boss Mon Uber	1	1	death-skill		759	Extra Loot Uber Map Boss	100	1	death-skill		811	Just Killed Boss	100	54						1	haste				100	100	crush				100	100	takedmg-skill		675	Converging Cold Boss Mon Uber	1	1	death-skill		811	Just Killed Boss	100	54													0
heraldofdoom	haste				50	50	pierce-res-all				100	100	death-skill		759	Extra Loot Uber Map Boss	100	1	death-skill		811	Just Killed Boss	100	55													haste				50	50	pierce-res-all				100	100	death-skill		759	Extra Loot Uber Map Boss	100	1	death-skill		811	Just Killed Boss	100	55													haste				50	50	pierce-res-all				100	100	death-skill		811	Just Killed Boss	100	55																			0
glacialbehemoth	death-skill		811	Just Killed Boss	100	56	death-skill		759	Extra Loot Uber Map Boss	100	1	attackrate				200	200	takedmg-skill		147	Charge Buff Mon Uber	3	1	takedmg-skill		682	Cold Petrify Boss Mon Uber	2	1						56	death-skill		811	Just Killed Boss	100	56	death-skill		759	Extra Loot Uber Map Boss	100	1	attackrate				200	200	takedmg-skill		147	Charge Buff Mon Uber	3	1	takedmg-skill		682	Cold Petrify Boss Mon Uber	2	1						56	death-skill		811	Just Killed Boss	100	56	attackrate				200	200	takedmg-skill		147	Charge Buff Mon Uber	3	1	takedmg-skill		682	Cold Petrify Boss Mon Uber	2	1													0
thetaskmaster	haste				50	50	death-skill		759	Extra Loot Uber Map Boss	100	1	death-skill		811	Just Killed Boss	100	57																			haste				50	50	death-skill		759	Extra Loot Uber Map Boss	100	1	death-skill		811	Just Killed Boss	100	57																			haste				50	50	death-skill		811	Just Killed Boss	100	57																									0
bloodthirstyslave	takedmg-skill		147	Charge Buff Mon Uber	5	1																															takedmg-skill		147	Charge Buff Mon Uber	5	1																															takedmg-skill		147	Charge Buff Mon Uber	5	1																															0
suicidalslave	haste				50	50	death-skill		685	Violent Explosion Mon Uber	100	1	death-skill		686	Fire Skull Mon Uber	100	1																			haste				50	50	death-skill		685	Violent Explosion Mon Uber	100	1	death-skill		686	Fire Skull Mon Uber	100	1																			haste				50	50	death-skill		685	Violent Explosion Mon Uber	100	1	death-skill		686	Fire Skull Mon Uber	100	1																			0
baaldisfiguredharbinger	haste				100	100	pierce-res-all				100	100	death-skill		759	Extra Loot Uber Map Boss	100	1	death-skill		811	Just Killed Boss	100	58													haste				100	100	pierce-res-all				100	100	death-skill		759	Extra Loot Uber Map Boss	100	1	death-skill		811	Just Killed Boss	100	58													haste				100	100	pierce-res-all				100	100	death-skill		811	Just Killed Boss	100	58																			0
instrumentofdestruction	takedmg-skill		147	Charge Buff Mon Uber	1	1	death-skill		314	Heal Buff Aoe Mon	100	1																									takedmg-skill		147	Charge Buff Mon Uber	1	1	death-skill		314	Heal Buff Aoe Mon	100	1																									takedmg-skill		147	Charge Buff Mon Uber	1	1	death-skill		314	Heal Buff Aoe Mon	100	1																									0
treasuregoblin	takedmg-skill		479	Teleport	1	1	takedmg-skill		664	Bone Spirit Boss Mon Uber	1	1	takedmg-skill		142	Meteor Mon Uber	1	1	takedmg-skill		942	Lightning Nova Mon Uber	1	1	takedmg-skill		143	Frozen Orb Mon Uber	1	1	takedmg-skill		937	Poison Flurry Mon Uber	1	1	takedmg-skill		479	Teleport	1	1	takedmg-skill		664	Bone Spirit Boss Mon Uber	1	1	takedmg-skill		142	Meteor Mon Uber	1	1	takedmg-skill		942	Lightning Nova Mon Uber	1	1	takedmg-skill		143	Frozen Orb Mon Uber	1	1	takedmg-skill		937	Poison Flurry Mon Uber	1	1	takedmg-skill		479	Teleport	1	1	takedmg-skill		664	Bone Spirit Boss Mon Uber	1	1	takedmg-skill		142	Meteor Mon Uber	1	1	takedmg-skill		942	Lightning Nova Mon Uber	1	1	takedmg-skill		143	Frozen Orb Mon Uber	1	1	takedmg-skill		937	Poison Flurry Mon Uber	1	1	0
arbiterofsouls	takedmg-skill		152	Paralyze Mon Uber	3	1	haste				50	50	death-skill		759	Extra Loot Uber Map Boss	100	1	death-skill		811	Just Killed Boss	100	59													takedmg-skill		152	Paralyze Mon Uber	3	1	haste				50	50	death-skill		759	Extra Loot Uber Map Boss	100	1	death-skill		811	Just Killed Boss	100	59													takedmg-skill		152	Paralyze Mon Uber	3	1	haste				50	50	death-skill		811	Just Killed Boss	100	59																			0
weakeningtower	death-skill		697	Tower Weakening Boss Mon Uber	100	1	pierce-res-all				100	100																									death-skill		697	Tower Weakening Boss Mon Uber	100	1	pierce-res-all				100	100																									death-skill		697	Tower Weakening Boss Mon Uber	100	1	pierce-res-all				100	100																									0
baaltheinvincible	pierce-res-all				100	100	death-skill		759	Extra Loot Uber Map Boss	100	2	abs-elem%				30	30	death-skill		811	Just Killed Boss	100	22													pierce-res-all				100	100	death-skill		759	Extra Loot Uber Map Boss	100	2	abs-elem%				30	30	death-skill		811	Just Killed Boss	100	22													pierce-res-all				100	100	abs-elem%				30	30	death-skill		811	Just Killed Boss	100	22																			0
mephistotheinvincible	pierce-res-all				100	100	takedmg-skill		702	Heavens Light Boss Mon Uber	1	1	death-skill		759	Extra Loot Uber Map Boss	100	2	abs-elem%				30	30	death-skill		811	Just Killed Boss	100	20							pierce-res-all				100	100	takedmg-skill		702	Heavens Light Boss Mon Uber	1	1	death-skill		759	Extra Loot Uber Map Boss	100	2	abs-elem%				30	30	death-skill		811	Just Killed Boss	100	20							pierce-res-all				100	100	takedmg-skill		702	Heavens Light Boss Mon Uber	1	1	abs-elem%				30	30	death-skill		811	Just Killed Boss	100	20													0
diablotheinvincible	pierce-res-all				100	100	takedmg-skill		707	Doomsday Spawn Boss Mon Uber	5	1	death-skill		759	Extra Loot Uber Map Boss	100	2	abs-elem%				30	30	death-skill		811	Just Killed Boss	100	21							pierce-res-all				100	100	takedmg-skill		707	Doomsday Spawn Boss Mon Uber	5	1	death-skill		759	Extra Loot Uber Map Boss	100	2	abs-elem%				30	30	death-skill		811	Just Killed Boss	100	21							pierce-res-all				100	100	takedmg-skill		707	Doomsday Spawn Boss Mon Uber	5	1	abs-elem%				30	30	death-skill		811	Just Killed Boss	100	21													0
doomsdayangel	death-skill		706	Doomsday Weaken Boss Mon Uber	100	1	abs-elem%				40	40																									death-skill		706	Doomsday Weaken Boss Mon Uber	100	1	abs-elem%				40	40																									death-skill		706	Doomsday Weaken Boss Mon Uber	100	1	abs-elem%				40	40																									0
eternalpendulum	fade				1	1	death-skill		718	Eternal Pendulum Mon Uber	100	1																									fade				1	1	death-skill		718	Eternal Pendulum Mon Uber	100	1																									fade				1	1	death-skill		718	Eternal Pendulum Mon Uber	100	1																									0
korlictheeternal	death-skill		811	Just Killed Boss	100	60	takedmg-skill		147	Charge Buff Mon Uber	2	1	takedmg-skill		717	Korlic Light Boss Mon Uber	1	1	death-skill		759	Extra Loot Uber Map Boss	100	1	fade				1	1	abs-elem%				30	30	death-skill		811	Just Killed Boss	100	60	takedmg-skill		147	Charge Buff Mon Uber	2	1	takedmg-skill		717	Korlic Light Boss Mon Uber	1	1	death-skill		759	Extra Loot Uber Map Boss	100	1	fade				1	1	abs-elem%				30	30	death-skill		811	Just Killed Boss	100	60	takedmg-skill		147	Charge Buff Mon Uber	2	1	takedmg-skill		717	Korlic Light Boss Mon Uber	1	1	fade				1	1	abs-elem%				30	30							0
talictheeternal	death-skill		811	Just Killed Boss	100	60	attackrate				50	50	death-skill		759	Extra Loot Uber Map Boss	100	1	fade				1	1	abs-elem%				30	30							death-skill		811	Just Killed Boss	100	60	attackrate				50	50	death-skill		759	Extra Loot Uber Map Boss	100	1	fade				1	1	abs-elem%				30	30							death-skill		811	Just Killed Boss	100	60	attackrate				50	50	fade				1	1	abs-elem%				30	30													0
madawctheeternal	death-skill		811	Just Killed Boss	100	60	attackrate				50	50	death-skill		759	Extra Loot Uber Map Boss	100	1	fade				1	1	abs-elem%				30	30							death-skill		811	Just Killed Boss	100	60	attackrate				50	50	death-skill		759	Extra Loot Uber Map Boss	100	1	fade				1	1	abs-elem%				30	30							death-skill		811	Just Killed Boss	100	60	attackrate				50	50	fade				1	1	abs-elem%				30	30													0
thelichking	takedmg-skill		723	Lich King Trap	1	1	takedmg-skill		724	Lich King Valkyrie	4	1	death-skill		759	Extra Loot Uber Map Boss	100	3	death-skill		814	Just Killed Lich King Uber	100	1	abs-elem%				30	30							takedmg-skill		723	Lich King Trap	1	1	takedmg-skill		724	Lich King Valkyrie	4	1	death-skill		759	Extra Loot Uber Map Boss	100	3	death-skill		814	Just Killed Lich King Uber	100	1	abs-elem%				30	30							takedmg-skill		723	Lich King Trap	1	1	takedmg-skill		724	Lich King Valkyrie	4	1	death-skill		814	Just Killed Lich King Uber	100	1	abs-elem%				30	30													0
lichkingabomination	takedmg-skill		296	Speed Frenzy Mon	5	20	takedmg-skill		292	Damage Frenzy Mon	5	20	takedmg-skill		717	Korlic Light Boss Mon Uber	1	1																			takedmg-skill		296	Speed Frenzy Mon	5	20	takedmg-skill		292	Damage Frenzy Mon	5	20	takedmg-skill		717	Korlic Light Boss Mon Uber	1	1																			takedmg-skill		296	Speed Frenzy Mon	5	20	takedmg-skill		292	Damage Frenzy Mon	5	20	takedmg-skill		717	Korlic Light Boss Mon Uber	1	1																			0
lichkingghoul	takedmg-skill		147	Charge Buff Mon Uber	2	1	hit-skill		393	Lich King Ghoul Power	100	1																									takedmg-skill		147	Charge Buff Mon Uber	2	1	hit-skill		393	Lich King Ghoul Power	100	1																									takedmg-skill		147	Charge Buff Mon Uber	2	1	hit-skill		393	Lich King Ghoul Power	100	1																									0
lichkingvalkyrie	death-skill		718	Eternal Pendulum Mon Uber	100	1																															death-skill		718	Eternal Pendulum Mon Uber	100	1																															death-skill		718	Eternal Pendulum Mon Uber	100	1																															0
rathmaacolyte	monrandombonus	20			20	20	pierce-pois				33	33	haste				50	50																			monrandombonus	20			40	40	pierce-pois				66	66	haste				75	75																			monrandombonus	20			60	60	pierce-pois				100	100	haste				100	100																			0
horazondisciple	monrandombonus	20			20	20	pierce-res-all				33	33	haste				50	50																			monrandombonus	20			40	40	pierce-res-all				66	66	haste				75	75																			monrandombonus	20			60	60	pierce-res-all				100	100	haste				100	100																			0
uldyssianhound	monrandombonus	20			20	20	takedmg-skill		147	Charge Buff Mon Uber	1	1	haste				50	50	att-skill		806	Aoe Stun Mon Ascendancy	25	1													monrandombonus	20			40	40	takedmg-skill		147	Charge Buff Mon Uber	1	1	haste				75	75	att-skill		806	Aoe Stun Mon Ascendancy	25	1													monrandombonus	20			60	60	takedmg-skill		147	Charge Buff Mon Uber	1	1	haste				100	100	att-skill		806	Aoe Stun Mon Ascendancy	25	1													0
inariusstalker	monrandombonus	20			20	20	hit-skill		808	Paralyze Mon Ascendancy	25	1	haste				50	50	att-skill		807	Bone Spirit Mon Ascendancy	50	1													monrandombonus	20			40	40	hit-skill		808	Paralyze Mon Ascendancy	25	1	haste				50	50	att-skill		807	Bone Spirit Mon Ascendancy	50	1													monrandombonus	20			60	60	hit-skill		808	Paralyze Mon Ascendancy	25	1	haste				50	50	att-skill		807	Bone Spirit Mon Ascendancy	50	1													0
malthaelimp	monrandombonus	20			20	20	takedmg-skill		809	Teleport Mon Ascendancy	2	1	haste				50	50	pierce-cold				33	33	pierce-fire				33	33							monrandombonus	20			40	40	takedmg-skill		809	Teleport Mon Ascendancy	2	1	haste				50	50	pierce-cold				66	66	pierce-fire				66	66							monrandombonus	20			60	60	takedmg-skill		809	Teleport Mon Ascendancy	2	1	haste				50	50	pierce-cold				100	100	pierce-fire				100	100							0
treant	monrandombonus	20			20	20	crush				25	25	deadly				25	25	death-skill		466	Static Field	100	15													monrandombonus	30			40	40	crush				50	50	deadly				33	33	death-skill		466	Static Field	100	33													monrandombonus	40			60	60	crush				100	100	deadly				50	50	death-skill		466	Static Field	100	50													0
trackkills	kill-skill		850	Kill Tracker	100	1																															kill-skill		850	Kill Tracker	100	1																															kill-skill		850	Kill Tracker	100	1																															0
aurasoldier	aura	5	540	Might	30	30	aura	5	529	Blessed Aim	30	30	aura	5	543	Concentration	30	30	aura	5	554	Fanaticism	30	30	aura	5	545	Vigor	30	30							aura	5	540	Might	30	30	aura	5	529	Blessed Aim	30	30	aura	5	543	Concentration	30	30	aura	5	554	Fanaticism	30	30	aura	5	545	Vigor	30	30							aura	5	540	Might	30	30	aura	5	529	Blessed Aim	30	30	aura	5	543	Concentration	30	30	aura	5	554	Fanaticism	30	30	aura	5	545	Vigor	30	30							0
harbingerofpestillence	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	pierce-pois				50	50													monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	pierce-pois				50	50													monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	pierce-pois				50	50													0
hellhound	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	takedmg-skill		147	Charge Buff Mon Uber	1	1	att-skill		806	Aoe Stun Mon Ascendancy	100	1	deadly				50	50	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	takedmg-skill		147	Charge Buff Mon Uber	1	1	att-skill		806	Aoe Stun Mon Ascendancy	100	1	deadly				50	50	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	takedmg-skill		147	Charge Buff Mon Uber	1	1	att-skill		806	Aoe Stun Mon Ascendancy	100	1	deadly				50	50	0
gravestalker	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	hit-skill		926	Paralyze Melee Mon Uber	25	1	att-skill		924	Bone Spirit Melee Mon Uber	100	1	haste				30	30	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	hit-skill		926	Paralyze Melee Mon Uber	25	1	att-skill		924	Bone Spirit Melee Mon Uber	100	1	haste				30	30	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	hit-skill		926	Paralyze Melee Mon Uber	25	1	att-skill		924	Bone Spirit Melee Mon Uber	100	1	haste				30	30	0
hellboundtrickster	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	takedmg-skill		923	Teleport Mon Uber	2	1	pierce-cold				50	50	pierce-fire				50	50	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	takedmg-skill		923	Teleport Mon Uber	2	1	pierce-cold				50	50	pierce-fire				50	50	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	takedmg-skill		923	Teleport Mon Uber	2	1	pierce-cold				50	50	pierce-fire				50	50	0
phantomassassin	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	dodge				25	25	haste				30	30							monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	dodge				25	25	haste				30	30							monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	dodge				25	25	haste				30	30							0
deathshaman	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	pierce-cold				50	50	aura		877	Cold Pierce Aura	25	25	state		90	IronGolem Old	1	1	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	pierce-cold				50	50	aura		877	Cold Pierce Aura	25	25	state		90	IronGolem Old	1	1	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	pierce-cold				50	50	aura		877	Cold Pierce Aura	25	25	state		90	IronGolem Old	1	1	0
graveling	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	death-skill		931	Cold Curse Mon Uber	100	1	state		90		1	1							monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	death-skill		931	Cold Curse Mon Uber	100	1	state		90	IronGolem Old	1	1							monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	death-skill		931	Cold Curse Mon Uber	100	1	state		90	IronGolem Old	1	1							0
baalmanifestedhatred	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	nofreeze				1	1													monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	nofreeze				1	1													monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	nofreeze				1	1													0
