Stat	*ID	Send Other	Signed	Send Bits	Send Param Bits	UpdateAnimRate	Saved	CSvSigned	CSvBits	CSvParam	fCallback	fMin	MinAccr	Encode	Add	Multiply	ValShift	1.09-Save Bits	1.09-Save Add	Save Bits	Save Add	Save Param Bits	keepzero	op	op param	op base	op stat1	op stat2	op stat3	direct	maxstat	damagerelated	itemevent1	itemeventfunc1	itemevent2	itemeventfunc2	descpriority	descfunc	descval	descstrpos	descstrneg	descstr2	dgrp	dgrpfunc	dgrpval	dgrpstrpos	dgrpstrneg	dgrpstr2	stuff	advdisplay	*eol
placeholder274	274		1	8							1				250	75		6	0	8	0												domeleedamage	17	domissiledamage	17	53	1	1	manaonstriking	manaonstriking										0
placeholder275	275			7	12						1							7	0	7	0	12															295	23		mythicalitemdesc	mythicalitemdesc									2	0
placeholder276	276		1	10	20						1			2				21	0	8	0	18											absorbdamage	21	absorbdamage	21	160	15		ItemExpansiveChanc3	ItemExpansiveChanc3									2	0
placeholder277	277		1	8											12	12		7	0	7	0											1					81	19		ModStr4a	ModStr4a									2	0
junk_05	278		1	16																16	0																95	3	2	jr5	jr5										0
junk_06	279		1	16																16	0																94	3	2	jr6	jr6										0
placeholder280	280		1	16											269	42				10	0			2	3	level	magicmaxdam					1					100	19		magicmaxdamagedesc	magicmaxdamagedesc	increaseswithplaylevelX									0
vitality_hidden2	281		1	16																10	928			9			hpregen																								0
maxhpflag	282		1	32																11	150																														0
maxmanaflag	283		1	32																11	150																														0
item_upgraded	284		1	12																16	0																299	20		torchupgraded	torchupgraded										0
item_anointed	285		1	12																4	0																300	20		Anointed	Anointed										0
item_anointed_dummy	286		1	12																8	0																299	20		AnointIt	AnointIt										0
item_skeleton_trade	287			12																9	0																298	19	2	moreskeletalmages	moreskeletalmages									2	0
item_max_skeleton_king	288			12																4	0																298	19	2	moreskeletonkings	moreskeletonkings									2	0
placeholder289	289			12																1	0																298	20		aegisofcorruptiondesc	aegisofcorruptiondesc									2	0
placeholder290	290			12																1	0																298	20		hydracapincrease	hydracapincrease									2	0
placeholder291	291			12																1	0																298	20		holyauratickrate	holyauratickrate									2	0
placeholder292	292			12																1	0																298	20		chargeupduration	chargeupduration										0
placeholder293	293			12																1	0																298	20		necrosummonsextraskills	necrosummonsextraskills									2	0
placeholder294	294			12																1	0																298	20		druidsummonspounce	druidsummonspounce									2	0
placeholder295	295			12																1	0																298	20		teleportimmo	teleportimmo									2	0
item_crossbowpassive	296		1	12																1	0																														0
placeholder297	297		1	12											310	62				9	100			1			passive_fire_mastery	passive_ltng_mastery	passive_cold_mastery			1					298	19		totalspelldamageelemental	totalspelldamageelemental		10	19		totalspelldamage	totalspelldamage				0
placeholder298	298		1	12											310	62				9	100			1			passive_mag2_mastery	passive_wind_mastery	passive_pois_mastery			1					298	19		totalspelldamageaether	totalspelldamageaether		10	19		totalspelldamage	totalspelldamage				0
extra_crossbow_bolts	299		1	12																9	2																51	19		extracrossbowbolts	extracrossbowbolts										0
skillcontrol2	300		1	1																32																	5	3	2	46a	46a										0
kill_dummy	301			32																																															0
kill_display	302			32																1				2	0	kill_base	kill_dummy										305	3	2	killtracker	killtracker									2	0
passive_summ_mastery_total	303		1	1											125	250				9	100			1			passive_summ_mastery										297	19		ModitemdamSummskTotal	ModitemdamSummskTotal									2	0
stancedance	304		1	3																																															0
placeholder305	305		1	9											358	100				8	50																88	19		Moditemenrescoldsk	Moditemenrescoldsk									2	0
placeholder306	306		1	9											310	100				8	50																88	19		Moditemenresfiresk	Moditemenresfiresk									2	0
placeholder307	307		1	9											296	100				8	50																88	19		Moditemenresltngsk	Moditemenresltngsk									2	0
placeholder308	308		1	9											330	100				8	50																88	19		Moditemenrespoissk	Moditemenrespoissk									2	0
junk_11	309		1	16																16	0																89	3	2	jr11	jr11										0
junk_12	310		1	16																16	0																88	3	2	jr12	jr12										0
junk_13	311		1	16																16	0																87	3	2	jr13	jr13										0
junk_14	312		1	16																16	0																86	3	2	jr14	jr14										0
junk_15	313		1	16																16	0																85	3	2	jr15	jr15										0
junk_16	314		1	16																16	0																84	3	2	jr16	jr16										0
firelength	315		1	16																																															0
burningmin	316		1	16																																															0
burningmax	317		1	16																																															0
progressive_damage	318		1	3																																															0
progressive_steal	319		1	3																																															0
progressive_other	320		1	3																																															0
progressive_fire	321		1	3																																															0
progressive_cold	322		1	3																																															0
progressive_lightning	323		1	3																																															0
item_extra_charges	324		1	6														6	0	6	0											1																			0
progressive_tohit	325		1	16																																															0
poison_count	326		1	5																												1																			0
damage_framerate	327		1	8																																															0
pierce_idx	328		1	6																																															0
passive_fire_mastery	329		1	20											279	50		8	0	9	50																88	19		ModitemdamFiresk	ModitemdamFiresk		4	19		strModEleMasteryAll	strModEleMasteryAll			2	0
passive_ltng_mastery	330		1	20											263	50		8	0	9	50																88	19		ModitemdamLtngsk	ModitemdamLtngsk		4	19		strModEleMasteryAll	strModEleMasteryAll			2	0
passive_cold_mastery	331		1	20											323	50		8	0	9	50																88	19		ModitemdamColdsk	ModitemdamColdsk		4	19		strModEleMasteryAll	strModEleMasteryAll			2	0
passive_pois_mastery	332		1	20											244	50		8	0	9	50																88	19		ModitemdamPoissk	ModitemdamPoissk		4	19		strModEleMasteryAll	strModEleMasteryAll			2	0
passive_fire_pierce	333		1	9												100		8	0	8	0																88	19		Moditemenresfiresk	Moditemenresfiresk		4	19		strModPierceResAll	strModPierceResAll			2	0
passive_ltng_pierce	334		1	9												100		8	0	8	0																88	19		Moditemenresltngsk	Moditemenresltngsk		4	19		strModPierceResAll	strModPierceResAll			2	0
passive_cold_pierce	335		1	9												100		8	0	8	0																88	19		Moditemenrescoldsk	Moditemenrescoldsk		4	19		strModPierceResAll	strModPierceResAll			2	0
passive_pois_pierce	336		1	9												100		8	0	8	0																88	19		Moditemenrespoissk	Moditemenrespoissk		4	19		strModPierceResAll	strModPierceResAll			2	0
placeholder337	337		1	9														8	0	8	0																													2	0
passive_dodge	338		1	9														7	0	8	0																88	19		passivedodgedesc	passivedodgedesc		12	19		passivedodgedesc	passivedodgedesc			2	0
passive_avoid	339		1	9														7	0	8	0																88	19		passiveavoiddesc	passiveavoiddesc		12	19		passivedodgedesc	passivedodgedesc			2	0
passive_evade	340		1	9														7	0	8	0																88	19		passiveevadedesc	passiveevadedesc		12	19		passivedodgedesc	passivedodgedesc			2	0
passive_warmth	341		1	9														8	0	8	0																														0
passive_mastery_melee_th	342		1	11	16													8	0	9	0																														0
passive_mastery_melee_dmg	343		1	11	16													8	0	9	0																														0
passive_mastery_melee_crit	344		1	9	16													8	0	9	0																														0
passive_mastery_throw_th	345		1	11	16													8	0	9	0																														0
passive_mastery_throw_dmg	346		1	11	16													8	0	9	0																														0
passive_mastery_throw_crit	347		1	9	16													8	0	9	0																														0
passive_weaponblock	348		1	9	16													8	0	9	0																														0
passive_summon_resist	349		1	9														8	0	9	0																														0
modifierlist_skill	350			16																																															0
modifierlist_level	351			16																																															0
last_sent_hp_pct	352		1	8																																															0
source_unit_type	353			5																																															0
source_unit_id	354			32																																															0
shortparam1	355			16																																															0
questitemdifficulty	356			32																2	0																														0
junk_17	357		1	16																16	0																83	3	2	jr17	jr17										0
junk_18	358		1	16																16	0																82	3	2	jr18	jr18										0
skill_cooldown	359			32	16																																														0
rune_white	360		1	28																28	0																50	3	2	runewhite	runewhite										0
rune_red	361		1	28																28	0																48	3	2	runered	runered										0
rune_yellow	362		1	28																28	0																47	3	2	runeyellow	runeyellow										0
rune_orange	363		1	28																28	0																46	3	2	runeorange	runeorange										0
rune_green	364		1	28																28	0																45	3	2	runegreen	runegreen										0
rune_gold	365		1	28																28	0																44	3	2	runegold	runegold										0
rune_purple	366		1	28																28	0																43	3	2	runepurple	runepurple										0
rune_lod_low	367		1	32																32	0																42	3	2	runelodlow	runelodlow										0
rune_lod_medium	368		1	32																32	0																41	3	2	runelodmedium	runelodmedium										0
rune_lod_high	369		1	32																32	0																40	3	2	runelodhigh	runelodhigh										0
item_nonclassskill_display	370		1	16	11						1			1				8	20	8	20	14															81	28		ItemModifierNonClassSkill	ItemModifierNonClassSkill										0
item_skill_cooldown	371		1	10											250	75		8	0	8	100																88	19		skillcooldownreduction	skillcooldownreduction									2	0
trap_limit	372		1	6											250	75		6	0	6	5																298	19		traplimitpositive	traplimitpositive									2	0
twister_limit	373		1	12											250	75		10	200	10	200																298	19		twisterlimit	twisterlimit									2	0
blade_nova_max_res	374		1	10							1				250	75		6	0	6	5																298	19		bladenovamaxres	bladenovamaxres									2	0
item_mythicaldesc	375			7	12						1							7	0	3	0	12															295	23		mythicalitemdesc	mythicalitemdesc									2	0
item_skillontakedmg	376		1	10	20						1			2				21	0	8	0	18											absorbdamage	21	absorbdamage	21	160	15		ItemExpansiveChanc3	ItemExpansiveChanc3									2	0
item_skillontakedmg_hidden	377		1	10	20						1			2				21	0	8	0	18											absorbdamage	21	absorbdamage	21														2	0
item_skillonkill_hidden	378		1	10	20						1			2				21	0	8	0	18										1	kill	30																2	0
passive_summ_limit	379		1	10											250	75		6	0	8	5																297	19		maxsummons	maxsummons									2	0
summon_ele_mastery_base	380		1	14																12	0																														0
mosaic_repeat_chance	381		1	14																4	0																298	20		mosaicrepeatchance	mosaicrepeatchance										0
summon_ac_ar_base	382		1	24																12	0																														0
has_shuriken	383		1	1																1	0																														0
summon_atd_base	384		1	24																12	0																														0
skillcontrolcold1	385		1	10																																															0
exclusiveskill	386		1	3																																															0
exclusiveskillcontrol	387		1	8																																															0
skillcontrollightning1	388		1	10																																															0
skillcontrolfire1	389		1	10																																															0
skillcontrolfire2	389		1	10																																															0
placeholder391	391		1	14																12	0																18	3	2	r33	r33										0
placeholder392	392		1	14																12	0																17	3	2	r34	r34										0
placeholder393	393		1	14																12	0																16	3	2	r35	r35										0
placeholder394	394		1	14																12	0																15	3	2	r36	r36										0
placeholder395	395		1	14																12	0																14	3	2	r37	r37										0
placeholder396	396		1	14																12	0																13	3	2	r38	r38										0
placeholder397	397		1	14																12	0																12	3	2	r39	r39										0
placeholder398	398		1	14																12	0																11	3	2	r40	r40										0
placeholder399	399		1	14																12	0																10	3	2	r41	r41										0
placeholder400	400		1	14																12	0																9	3	2	r42	r42										0
placeholder401	401		1	14																12	0																8	3	2	r43	r43										0
placeholder402	402		1	14																12	0																7	3	2	r44	r44										0
placeholder403	403		1	14																12	0																6	3	2	r45	r45										0
placeholder404	404		1	14																12	0																5	3	2	r46	r46										0
placeholder405	405		1	14																12	0																33	3	2	r51	r51										0
placeholder406	406		1	14																12	0																32	3	2	r52	r52										0
placeholder407	407		1	14																12	0																31	3	2	r53	r53										0
placeholder408	408		1	14																12	0																30	3	2	r54	r54										0
placeholder409	409		1	14																12	0																29	3	2	r55	r55										0
placeholder410	410		1	14																12	0																28	3	2	r56	r56										0
placeholder411	411		1	14																12	0																27	3	2	r57	r57										0
placeholder412	412		1	14																12	0																26	3	2	r58	r58										0
placeholder413	413		1	14																12	0																25	3	2	r59	r59										0
placeholder414	414		1	14																12	0																24	3	2	r60	r60										0
placeholder415	415		1	14																12	0																23	3	2	r61	r61										0
placeholder416	416		1	14																12	0																22	3	2	r62	r62										0
placeholder417	417		1	14																12	0																21	3	2	r63	r63										0
placeholder418	418		1	14																12	0																20	3	2	r64	r64										0
placeholder419	419		1	14																12	0																19	3	2	r65	r65										0
placeholder420	420		1	14																12	0																18	3	2	r66	r66										0
placeholder421	421		1	14																12	0																17	3	2	r67	r67										0
placeholder422	422		1	14																12	0																16	3	2	r68	r68										0
placeholder423	423		1	14																12	0																15	3	2	r69	r69										0
placeholder424	424		1	14																12	0																14	3	2	r70	r70										0
placeholder425	425		1	14																12	0																13	3	2	r71	r71										0
placeholder426	426		1	14																12	0																12	3	2	r72	r72										0
placeholder427	427		1	14																12	0																11	3	2	r73	r73										0
placeholder428	428		1	14																12	0																10	3	2	r74	r74										0
placeholder429	429		1	14																12	0																9	3	2	r75	r75										0
placeholder430	430		1	14																12	0																8	3	2	r76	r76										0
placeholder431	431		1	14																12	0																7	3	2	r77	r77										0
placeholder432	432		1	14																12	0																6	3	2	r78	r78										0
placeholder433	433		1	14																12	0																5	3	2	r79	r79										0
placeholder434	434		1	14																12	0																4	3	2	r80	r80										0
placeholder435	435		1	14																12	0																3	3	2	r81	r81										0
placeholder436	436		1	14																12	0																2	3	2	r82	r82										0
placeholder437	437		1	14																12	0																1	3	2	r83	r83										0
item_01	438		1	16																16	0																24	3	2	map	map										0
item_02	439		1	16																16	0																23	3	2	ddd	ddd										0
item_03	440		1	16																16	0																22	3	2	yyy	yyy										0
item_04	441		1	16																16	0																20	3	2	zzz	zzz										0
item_05	442		1	16																16	0																19	3	2	brz	brz										0
item_06	443		1	16																16	0																18	3	2	eyz	eyz										0
item_07	444		1	16																16	0																17	3	2	qll	qll										0
item_08	445		1	16																16	0																16	3	2	spe	spe										0
item_09	446		1	16																16	0																15	3	2	tal	tal										0
item_10	447		1	16																16	0																14	3	2	jaw	jaw										0
item_11	448		1	16																16	0																13	3	2	fng	fng										0
item_12	449		1	16																16	0																12	3	2	hrn	hrn										0
item_13	450		1	16																16	0																11	3	2	scz	scz										0
item_14	451		1	16																16	0																10	3	2	hrt	hrt										0
item_15	452		1	16																16	0																9	3	2	sol	sol										0
item_16	453		1	16																16	0																8	3	2	wss2	wss2										0
item_17	454		1	16																16	0																7	3	2	flg	flg										0
item_18	455		1	16																16	0																6	3	2	sdo	sdo										0
item_19	456		1	16																16	0																2	3	2	99j2	99j2										0
item_20	457		1	16																16	0																1	3	2	rvs2	rvs2										0
item_21	458		1	16																16	0																5	3	2	bcpn1	bcpn1										0
item_22	459		1	16																16	0																4	3	2	bcpn2	bcpn2										0
item_23	460		1	16																16	0																3	3	2	bcpn3	bcpn3										0
junk_07	461		1	16																16	0																93	3	2	jr7	jr7										0
junk_08	462		1	16																16	0																92	3	2	jr8	jr8										0
item_craftflag2	463		1	10																11	0																162	3	0	Forged Jew	Forged Jew										0
item_tinkerflag2	464		1	12																11	0																														0
item_24	465		1	16																16	0																21	3	2	qqq	qqq										0
item_maxdamage_percent2	466		1	11											16	2				10	123			1			maxdamage	secondary_maxdamage	item_throw_maxdamage			1					129	3	0	ModStr2j	ModStr2j										0
item_mindamage_percent2	467		1	11											16	2				10	123			1			mindamage	secondary_mindamage	item_throw_mindamage			1					130	3	0	ModStr2k	ModStr2k										0
junk_09	468		1	16																16	0																70	3	2	jr9	jr9										0
placeholder469	469		1	14																12	0																1	3	2	r50	r50										0
xtal_00	470		1	18																12	8																12	3	2	xt0	xt0										0
xtal_01	471		1	18																12	8																11	3	2	xt1	xt1										0
xtal_02	472		1	18																12	8																10	3	2	xt2	xt2										0
xtal_03	473		1	18																12	8																9	3	2	xt3	xt3										0
xtal_04	474		1	18																12	8																8	3	2	xt4	xt4										0
xtal_05	475		1	18																12	8																7	3	2	xt5	xt5										0
xtal_06	476		1	18																12	8																6	3	2	xt6	xt6										0
xtal_07	477		1	18																12	8																5	3	2	xt7	xt7										0
xtal_08	478		1	18																12	8																4	3	2	xt8	xt8										0
xtal_09	479		1	18																12	8																3	3	2	xt9	xt9										0
xtal_10	480		1	18																12	8																2	3	2	xtx	xtx										0
xtal_11	481		1	18																12	8																1	3	2	xty	xty										0
passive_mag2_mastery	482		1	20											307	53				9	111			11			magicmindam	magicmaxdam									88	19		ModitemdamMagsk	ModitemdamMagsk									2	0
passive_wind_mastery	483		1	20											307	53				9	111																88	19		ModitemdamWindsk	ModitemdamWindsk									2	0
item_jewelflag	484		1	4																4	0																														0
item_mercflag	485		1	4																4	0																161	3	0	Merc Forged	Merc Forged										0
passive_summ_mastery	486		1	20											307	53				9	50																88	19		ModitemdamSummsk	ModitemdamSummsk									2	0
item_summskills	487		1	10							1				1895	256				7	20																158	1	1	ModStr3kSum	ModStr3kSum										0
item_bigcraftflag	488		1	4																32	0																														0
total_elemental_min_damage	489		1	12							1				16	12				10	100			11			firemindam	coldmindam	lightmindam																						0
placeholder_skillmissiledmg	490			32	16																																														0
skillcontrol	491		1	12																32																															0
skillcontrol3	492		1	32																32																															0
total_elemental_max_damage	493		1	12							1				16	12				10	100			11			firemaxdam	lightmaxdam	coldmaxdam																						0
progressive_physical	494		1	3																																															0
total_poison_magic_min_damage	495		1	12							1				16	12				10	100			11			poisonmindam	magicmindam																							0
total_poison_magic_max_damage	496		1	12							1				16	12				10	100			11			poisonmaxdam	magicmaxdam																							0
skillcontrol4	497		1	32																32																															0
item_elemskillcold	498		1	7	4						1				19	256		4	0	7	0	4															157	1	1	ModStrcoldskill	ModStrcoldskill									2	0
item_elemskilllight	499		1	7	4						1				19	256		4	0	7	0	4															157	1	1	ModStrlightningskill	ModStrlightningskill									2	0
item_elemskillpoison	500		1	7	4						1				19	256		4	0	7	0	4															157	1	1	ModStrpoisonskill	ModStrpoisonskill									2	0
item_elemskillmagic	501		1	7	4						1				19	256		4	0	7	0	4															157	1	1	ModStrmagicskill	ModStrmagicskill									2	0
item_elemskillfire	502		1	7	4						1				19	256		4	0	7	0	4															157	1	1	ModStrfireskill	ModStrfireskill									2	0
item_corrupted	503		1	12									0					8	0	8	0																300	20		Corrupted	Corrupted										0
item_corrupted_dummy	504		1	12									0					8	0	8	0																299	20		SlamIt	SlamIt										0
lifeonstriking	505		1	12							1				250	75		6	0	8	0												domeleedamage	28	domissiledamage	28	52	1	1	lifeonstriking	lifeonstriking									2	0
manaonstriking	506		1	12							1				250	75		6	0	8	0												domeleedamage	17	domissiledamage	17	53	1	1	manaonstriking	manaonstriking									2	0
soul_counter	507			32																32																	290	19	2	soulcounter	soulcounter										0
kill_check	508		1	12																32																															0
ascendancy_upgrade	509			12							1									10	0																														0
placeholder510	510		1	7	16						1				-100			21	0	7	0	16										1	domeleedamage	20			400	19	0	splash3	splash3										0
