skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	IconCel	HireableIconCel	str name	str short	str long	str alt	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc2line5	dsc2texta5	dsc2textb5	dsc2calca5	dsc2calcb5	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	*eol
decrepify	1	4	2	1	42		skillname87	skillld87	skillld87	skillname87																	36	StrSkillDurationSingular	StrSkill20	len	25	36	StrSkillRadiusSingular	StrSkill18	rng*2	3	74	enemyphysicalresist		ast3																	36	StrSkill3		usmc	256	74	StrSkill38		ast2		36	enemymovementspeed		ast1												40	Sksyn	skillname87	2		76	EnemyDamageplevhalf	anyothercurse	-1		76	enemyslowplev	anyothercurse	-1																						0
bone prison	2	4	3	2	44		skillname88	skillld88	skillld88	skillname88																	36	StrSkill3		"max(usmc, 1)"	256	13	StrSkill42		clc1																						36	StrSkillDurationSingular	StrSkill20	par2	25																					40	Sksyn	skillname88	2		76	Hpplev	bonewave1	par8		76	Hpplev	skillname93	par8																						0
summon resist	3	5	1	3	46		skillname89	skillld89	skillld89	skillname89																	74	StrSkill54		pst1																																																																																							0
irongolem	3	4	2	3	48		skillname90	irongolem23	irongolem23	skillname90																	36	StrSkill3		usmc	256	74	maxgolems		pets		5	StrSkill208		pst2*(100+toht)/100		75	StrSkill4		pnma	pnma	13	StrSkill42		clc1		74	irongolemdamagereturnedflat		pst4		18	maxgolemsdesc																								40	Sksyn	skillname90	2		76	AttRateplev	skillname75	skill('Clay Golem'.par8)		76	Hpplev	skillname85	skill('BloodGolem'.par8)		76	Damplev	skillname94	skill('FireGolem'.par8)		18	skillname79				18	skillname89									0
lower resist	1	6	2	1	50		skillname91	lowerresist3	lowerresist3	skillname91																	36	StrSkillDurationSingular	StrSkill20	len	25	36	StrSkillRadiusSingular	StrSkill18	rng*2	3	74	enemyelementalresist		ast1		3	poisonMasteryPois	StrSkill23	ast4		3	poisonMasteryMag	StrSkill23	ast5							36	StrSkill3		usmc	256																					40	Sksyn	skillname91	2		76	enemyelementalresisttwothirds	anyothercurse	-2		76	enemymagicpoisonresistplev	Skillname372	-3																						0
poison nova	2	4	2	2	52		skillname92	skillld92	skillld92	skillname92	5																36	StrSkillPoisonLengthSingular	StrSkill63	edln	25	75	StrSkill8		enms*edln/256	exms*edln/256	74	enemyphysicalresist		clc6																	36	StrSkill3		usmc	256																					40	Sksyn	skillname92	2		76	Poisdplev	poisonDagger1	par8		76	Poisdplev	skillname83	par8		76	Poisdplev	skillname74	par8		76	Poisdplev	skillname68	par8												0
bone spirit	2	5	1	2	54	52	skillname93	skillld93	skillld93	skillname93	5																36	StrSkill3		usmc	256	75	StrSkill39		enma	exma	74	StrSkill223		clc4																																										40	Sksyn	skillname93	2		76	Magdplev	skillname68	par8		76	Magdplev	frozenspear1	par8		76	Magdplev	Skillname374	par8		76	Magdplev	skillname74	par8												0
firegolem	3	5	2	3	56		skillname94	firegolem23	firegolem23	skillname94																	36	StrSkill3		usmc	256	74	maxgolems		pets		5	StrSkill208		pst2*(100+toht)/100		75	StrSkill4		pnma	pnma	74	StrSkillDefense		pst3		13	StrSkill42		clc1		18	maxgolemsdescfire																								40	Sksyn	skillname94	2		76	AttRateplev	skillname75	skill('Clay Golem'.par8)		76	Hpplev	skillname85	skill('BloodGolem'.par8)		76	Defplev	skillname90	skill('IronGolem'.par8)		18	skillname79				18	skillname89									0
summon skeleton king	3	6	3	3	58		summonskeletonking1	summonskeletonking3	summonskeletonking3	summonskeletonking1																	36	StrSkill3		usmc	256	5	StrSkill208		pst4*(100+toht)/100		75	StrSkill4		pnma	pnma	74	StrSkillDefense		ast5		13	StrSkill42		clc1							36	StrSkillCooldownSingular	StrSkillCooldown	clc6	25																					40	Sksyn	summonskeletonking1	2		18	skillname69				18	skillname89																								0
smite	1	1	3	1	2		skillname97	skillld97	skillld97	skillname97	10																36	StrSkill3		usmc	256	74	StrSkillDamagePercent		clc1		74	smiteblocksynergydesc		ast1		74	smitethornssynergydesc		ast2		74	smiteregensynergydesc		skill('Vigor'.blvl)/2		74	smiteabsorbsynergydesc		ast4		36	smiteduration	smiteduration	clc2	25																					40	Sksyn	skillname97	2		76	Damplev	skillname107	par8		76	smiteblocksynergy	skillname104	par5		76	smitethornssynergy	skillname103	par6		76	smiteregensynergy	skillname115	25		76	smiteabsorbsynergy	skillname125	par7		76	smitedurationsynergy	skillname120	2		0
might	2	4	1	2	4	11	skillname98	skillld98	skillld98	skillname98																	36	StrSkillRadiusSingular	StrSkill18	rng*2	3	74	physicaldamage		ast1																																															40	Sksyn	skillname98	2		76	Damplev	judgement1	par8																											0
prayer	3	1	1	3	6	6	skillname99	skillld99	skillld99	skillname99																	36	StrSkill34		usmc	256	36	StrSkillRadiusSingular	StrSkill18	rng*2	3	74	StrSkillHealFlat		ast1/256																																										40	Sksyn	skillname99	2		76	Healplev2	skillname101	par8		76	Healplev2	skillname121	par8		76	Healplev2	skillname124	par8																	0
resist fire	3	1	3	3	8	58	skillname100	skillld100	skillld100	skillname100																	74	StrSkill188		ast1		74	ModStr5u		ast2		74	ModitemdamFiresk		ast3		74	wisdomhitspeedcurrent		ast4		36	StrSkillRadiusSingular	StrSkill18	rng*2	3																																																																		0
holy bolt	1	2	2	1	10		skillname101	skillld101	skillld101	skillname101	5																36	StrSkill3		usmc	256	75	StrSkill39		enma	exma																																														40	Sksyn	skillname101	2		76	Magdplev	skillname112	par8		76	Magdplev	skillname121	par8		76	Magdplev	Skillname381	par8																	0
holy fire	2	3	3	2	12	37	skillname102	skillld102	skillld102	skillname102	5																36	StrSkillRadiusSingular	StrSkill18	rng*2	3	75	StrSkill5		enma	exma	75	StrSkillFireDamageToYourAttack		pst1	pst2	36	tickratesingular	tickrate	clc5	25																																				40	Sksyn	skillname102	2		76	Firedplev	skillname100	par8*2		76	Firedplev	skillname125	par8		76	Firedplev	crucify1	par8																	0
thorns	2	2	1	2	14	9	skillname103	thorns23	thorns23	skillname103																	36	StrSkillRadiusSingular	StrSkill18	rng*2	3	74	StrSkill55		ast1		74	thornsdamage		ast2																	74	thornsdamagedesc		clc4																						40	Sksyn	skillname103	2		76	thornsdamagesynergy	skillname106	1		76	thornsdamagesynergy	skillname97	1		76	thornsdamagesynergy	crucify1	1		76	thornsdamagereturnsynergy	skillname106	par8		76	thornsdamagereturnsynergy	skillname97	par8		76	thornsdamagereturnsynergy	crucify1	par8		0
defiance	3	2	2	3	16	7	skillname104	skillld104	skillld104	skillname104																	36	StrSkillRadiusSingular	StrSkill18	rng*2	3	74	StrSkill21		ast1																																															40	Sksyn	skillname104	2		76	Defplev	skillname100	par8		76	Defplev	skillname105	par8		76	Defplev	skillname110	par8		76	Defplev	holyArmor1	par7												0
resist cold	3	2	3	3	18	59	skillname105	skillld105	skillld105	skillname105																	74	StrSkill189		ast1		74	ModStr5v		ast2		74	ModitemdamColdsk		ast3		36	StrSkillRadiusSingular	StrSkill18	rng*2	3											18	ModStr5z																																																											0
zeal	1	1	1	1	20		skillname106	skillld106	skillld106	skillname106	7	clc2											2				36	StrSkill3		usmc	256	74	StrSkill11		clc1		74	StrSkill22		toht		36	zealempowerchance	zealempowerchance	clc4	10	74	buffattackspeed		ast1		74	buffphysicaldamage		ast2		74	WeapDamsk		75		74	furyenemieshit		4		74	buffelementalpierce		ast3		74	phystocolddesc		min(100,skill('Conviction'.blvl)*5)							40	Sksyn	skillname106	2		76	buffphysicaldamagesynergy	judgement1	par7		76	buffattackspeedsynergy	crucify1	1		76	buffelementalpiercesynergy	skillname111	-2		76	phystocold	skillname123	5		18	zealdoubledamagesynergy									0
charge	1	3	3	1	22		skillname107	skillld107	skillld107	skillname107	7	clc1											2				36	StrSkill3		usmc	256	74	StrSkillDamagePercent		clc1		74	StrSkill22		toht		74	chargespeed		clc2												74	WeapDamsk		150																						40	Sksyn	skillname107	2		76	Damplev	holyArmor1	par8		76	AttRateplev	skillname97	par8		76	chargespeedsynergy	skillname115	par8																	0
blessed aim	2	1	2	2	24	8	skillname108	blessedaim23	blessedaim23	skillname108																	36	StrSkillRadiusSingular	StrSkill18	rng*2	3	74	StrSkill106		ast2		74	StrSkill154		ast1		74	StrSkill22		ast3		74	StrSkillPiercingChance		ast4																																40	Sksyn	skillname108	2		76	AttRateplev	Skillname378	par8		76	AttRateplev	skillname106	par8		76	AttRateplev	crucify1	par8																	0
cleansing	3	3	1	3	38		skillname109	skillld109	skillld109	skillname109																	36	StrSkillRadiusSingular	StrSkill18	rng*2	3	74	StrSkill184		ast2		74	StrSkill183		100-ast1																																																																													0
resist lightning	3	3	3	3	28	60	skillname110	skillld110	skillld110	skillname110																	74	StrSkill190		ast1		74	ModStr5w		ast2		74	ModitemdamLtngsk		ast3		74	passivedodgedesc		ast4		36	StrSkillRadiusSingular	StrSkill18	rng*2	3																																																																		0
vengeance	1	4	1	1	40	36	skillname111	vengeance3	vengeance3	skillname111	5												1				36	StrSkill3		usmc	256	74	StrSkill22		toht																						74	WeapDamsk		25		74	phystoelemdesc		min(100,skill('Conviction'.blvl)*5)																	40	Sksyn	skillname111	2		76	AttRateplev	skillname106	par8		76	phystoelem	skillname123	5		18	vengeanceabsorbsynergy																			0
blessed hammer	1	4	2	1	32		skillname112	skillld112	skillld112	skillname112	12																36	StrSkill3		usmc	256	75	StrSkill39		enma	exma	74	numberofhammers		clc1																	74	extrahammersperlevels		15																						40	Sksyn	skillname112	2		76	Magdplev	skillname101	par8		76	Magdplev	Skillname381	par8		76	Magdplev	skillname121	par8																	0
concentration	2	4	2	2	34	42	skillname113	skillld113	skillld113	skillname113																	36	StrSkillRadiusSingular	StrSkill18	rng*2	3	74	physicaldamage		ast1		74	StrSkill76		ast2																																										40	Sksyn	skillname113	2		76	Damplev	skillname112	par8		76	Damplev	Skillname379	par8		76	concentrationuninterruptablesynergy	skillname112	1		76	concentrationuninterruptablesynergy	Skillname379	1												0
holy freeze	2	4	3	2	36	10	skillname114	skillld114	skillld114	skillname114	5																36	StrSkillRadiusSingular	StrSkill18	rng*2	3	74	StrSkill77		ln34		75	StrSkill6		enma	exma	75	StrSkillColdDamageToYourAttack		pst1	pst2	36	tickratesingular	tickrate	clc5	25																															40	Sksyn	skillname114	2		76	Colddplev	skillname105	par8*2		76	Colddplev	skillname125	par8		76	Colddplev	skillname106	par8																	0
vigor	3	4	2	3	26	42	skillname115	vigorlong3	vigorlong3	skillname115																	36	StrSkillRadiusSingular	StrSkill18	rng*2	3	74	StrSkill102		ln34		74	StrSkill89		dm56		74	totalmaxlife		ast4		74	vigormfdesc		lvl		74	vigorlifedesc		lvl		74	vigormf		ast5		74	vigorlife		clc5																	40	Sksyn	skillname115	2		76	Hpplev	skillname99	1		76	Hpplev	skillname109	1																						0
holy shield	1	4	3	1	42		holyArmor1	holyArmor3	holyArmor3	holyArmor1																	74	StrSkill21		pst1		74	StrSkill110		pst2		75	StrSkillSmiteDamage		pnma	pxma	36	StrSkillDurationSingular	StrSkill20	len	25											36	StrSkill3		usmc	256																					40	Sksyn	holyArmor1	2		76	holyArmorDefianceSynergy	skillname104	2		76	holyArmorSanctuarySy	skillname119	1		76	allresistssynergy	skillname125	1		76	smitedamagesynergy	skillname97	par7												0
holy shock	2	5	3	2	44	44	skillname118	skillxld118	skillxld118	skillname118	5																36	StrSkillRadiusSingular	StrSkill18	rng*2	3	75	StrSkill7		enma	exma	75	strEskilllighttoattack		pst1	pst2	36	tickratesingular	tickrate	clc5	25																																				40	Sksyn	skillname118	2		76	Ltngdplev	skillname110	par8*2		76	Ltngdplev	skillname125	par8		76	Ltngdplev	judgement1	par8																	0
sanctuary	2	1	1	2	46		skillname119	sanctuary23	sanctuary23	skillname119																	36	StrSkillRadiusSingular	StrSkill18	rng*2	3	74	enemymovementspeed		ast1		74	enemymagicresist		ast2		75	magicdamagetoattacks		pst3	pst4											74	magicmovementspeedperdamage		clc5																						40	Sksyn	skillname119	2		76	magicresistcoefficientsynergy	skillname101	1		76	magicresistcoefficientsynergy	skillname112	1		76	magicresistcoefficientsynergy	skillname121	1		74	multiplemagicdamagesynergy		par8												0
meditation	3	5	1	3	48	38	skillname120	skillld120	skillld120	skillname120																	36	StrSkillRadiusSingular	StrSkill18	rng*2	3	74	fcrskill		ast2		74	StrSkill88		ast1		74	strModPierceResAll		ast3																																					40	Sksyn	skillname120	2		63	skillname124	Regplev	par7																											0
fist of the heavens	1	6	2	1	50		skillname121	skillld121	skillld121	skillname121	5													fistoftheheavensnormalbolt			36	StrSkill3		usmc	256	75	fistoftheheavensboltdamage		m1en	m1ex	75	StrSkill39		enma	exma																36	StrSkillCooldownSingular	StrSkillCooldown	clc6	25																					40	Sksyn	skillname121	2		76	Magdplev	skillname101	par8		76	Magdplev	skillname112	par8		76	Magdplev	Skillname381	par8																	0
fanaticism	2	6	1	2	52	39	skillname122	skillxld122	skillxld122	skillname122																	36	StrSkillRadiusSingular	StrSkill18	rng*2	3	74	StrSkill106		ast1		74	physicaldamage		ast3		74	StrSkill22		ast2																																					40	Sksyn	skillname122	2		76	Damplev	judgement1	par8		76	Damplev	Skillname379	par8		76	AttRateplev	Skillname378	par7		76	attackspeedsynergy	skillname106	2												0
conviction	2	6	3	2	56	40	skillname123	skillld123	skillld123	skillname123																	36	StrSkillRadiusSingular	StrSkill18	rng*2	3	74	resistfire		ast2		74	resistcold		ast3		74	resistlightning		ast4		74	totaldefensepenalty		ast1																																40	Sksyn	skillname123	2		76	holyFireSynergy	skillname102	-1		76	holyFreezeSynergy	skillname114	-1		76	holyShockSynergy	skillname118	-1																	0
redemption	3	6	2	3	54		skillname124	skillxld124	skillxld124	skillname124																	74	liferecovered		clc2		74	manarecovered		clc3																						74	StrSkill109		clc1		36	StrSkillRadiusSingular	StrSkill18	rng*2	3																40	Sksyn	skillname124	2		76	liferecoveredsynergy	skillname99	par8		76	manarecoveredsynergy	skillname120	par7																						0
salvation	3	6	3	3	58	41	skillname125	skillld125	skillld125	skillname125																	74	strModMaxElementalResists		ast1		74	strModAbsorbElementalFlat		ast4		36	StrSkillRadiusSingular	StrSkill18	rng*2	3																																									40	Sksyn	skillname125	2		76	flatfireabsorbperlevel	skillname100	par8		76	flatcoldabsorbperlevel	skillname105	par8		76	flatlightningabsorbperlevel	skillname110	par8																	0
bash	1	4	3	1	0	22	overwhelm1	overwhelm3	overwhelm3	overwhelm1	7	clc1											1				36	StrSkill3		usmc	256	74	StrSkill22		toht		74	overwhelmrocks		30/clc4		36	StrSkillRadiusSingular	StrSkill18	9+lvl/3	3											74	WeapDamsk		75		74	extrarocks		10																	40	Sksyn	overwhelm1	2		76	AttRateplev	skillname144	par7		18	overwhelmconversionsynergy				18	overwhelmmaxrockssynergy																			0
sword mastery	2	1	1	2	2		ccmastery1	ccmastery2	ccmastery2	ccmastery1													1				74	eskillincasemasteryX		macr		74	StrSkillDamagePercent		madm		74	StrSkill22		math																	74	selfsynergyeffect		3																								ccmastery1																																	0
axe mastery	2	1	3	2	4		tstrike1	tstrike3	tstrike3	tstrike1	5												1				36	StrSkill3		usmc	256	74	StrSkill22		toht		74	StrSkill224		-ast1		74	lightningtrails		clc1												74	WeapDamsk		25		74	thunderstrikeconversion		100		74	thunderstrikeprojectiles		20		36	StrSkillDurationSingular	StrSkill20	clc2	25						40	Sksyn	tstrike1	2		76	AttRateplev	ccmastery1	par8		76	SecDurplev	plasmarain1	par7		76	extralightningboltssynergy	strenght1	par6		76	lightningpiercesynergy	Skillname385	-par5		18	thunderstrikechainsynergy									0
mace mastery	2	4	3	2	6		twave1	twave3	twave3	twave1	5													thunder wave maker			36	StrSkill3		usmc	256	75	StrSkill7		enma	exma																																														40	Sksyn	twave1	2		76	Ltngdplev	ccmastery1	par8		76	Ltngdplev	tstrike1	par8		76	Ltngdplev	Skillname385	par8		76	Ltngdplev	plasmarain1	par8		76	Ltngdplev	Skillname386	par8							0
howl	3	5	1	3	8		skillname130	skillld130	skillld130	skillname130																	36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	len	25	36	StrSkillRadiusSingular	StrSkill18	60+lvl/3	3	36	StrSkillFreezeLengthSingular	StrSkill29	edln	25	74	totaldefensepenalty		ast2		74	enemymagicresist		ast1		36	StrSkillCooldownSingular	StrSkillCooldown	clc6	25																																																								0
find potion	3	4	3	3	32		findtreasure1	findtreasure3	findtreasure3	findtreasure1																	74	StrSkill24		clc1																											36	StrSkill3		usmc	256																																																								0
leap	3	1	3	3	12		skillname132	skillld132	skillld132	skillname132																	36	StrSkill3		usmc	256	36	StrSkillRadiusSingular	StrSkill18	15+lvl/3	3	74	leapspeed		clc2-100		36	debuffduration	debuffduration	len	25	74	enemyphysicalresist		ast1																																40	Sksyn	skillname143	2		76	leapspeedsynergy	skillname143	par8																											0
pole arm mastery	2	5	3	2	16		plasmarain1	plasmarain3	plasmarain3	plasmarain1	5																36	StrSkill3		usmc	256	75	StrSkill7		enma	exma																					36	StrSkillCooldownSingular	StrSkillCooldown	clc6	25																					40	Sksyn	plasmarain1	2		76	Ltngdplev	ccmastery1	par8		76	Ltngdplev	tstrike1	par8		76	Ltngdplev	twave1	par8		76	Ltngdplev	Skillname385	par8		76	Ltngdplev	Skillname386	par8							0
throwing mastery	2	1	2	2	18		skillname135	skillld135	skillld135	skillname135																	74	StrSkillPiercingChance		pst4		74	eskillincasemasteryX		pst3		74	StrSkillDamagePercent		pst2		74	StrSkill22		pst1												74	selfsynergyeffect		3																																																									0
taunt	3	4	1	3	22	28	skillname137	skillld137	skillld137	skillname137																	36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	len	25	36	StrSkillRadiusSingular	StrSkill18	60+lvl/3	3	74	flatphysicaldamagebonus		clc5		74	movementspeed		ast1							36	StrSkillCooldownSingular	StrSkillCooldown	clc6	25																					40	Sksyn	skillname137	2		76	physicaldamageperhitsynergy	skillname138	5		76	physicaldamageperhitsynergy	skillname149	5		76	physicaldamageperhitsynergy	skillname155	5																	0
shout	3	1	2	3	24	53	skillname138	skillld138	skillld138	skillname138																	74	StrSkill21		ast1		36	StrSkillDurationSingular	StrSkill20	len	25																					36	StrSkill3		usmc	256																					40	Sksyn	skillname138	2		74	shoutsynergy		par7																											0
stun	1	1	3	1	26	23	skillname139	stun3	stun3	skillname139	7	clc1											1				36	StrSkill3		usmc	256	36	StrSkillStunLengthSingular	StrSkill48	edln	25	74	StrSkill22		toht		36	StrSkillRadiusSingular	StrSkill18	9+lvl/3	3											74	WeapDamsk		125		74	phystolightningdesc		skill('SThunder Storm Bar'.blvl)*5																	40	Sksyn	skillname139	2		76	phystolightning	Skillname386	5		76	AttRateplev	skillname144	par7		76	stunlengthsynergy	skillname145	par8		18	stundoubledamage														0
increased stamina	2	2	2	2	60		strenght1	strenght3	strenght3	strenght1																	74	StrSkill154		pst2		6	ModStr1a2		pst1																						74	selfsynergyeffect		3																																																									0
find item	2	3	1	2	10		luck1	luck3	luck3	luck1																	74	ModStr1w		pst2		74	ModStr1x		pst1																						74	selfsynergyeffect		3																																																									0
leap attack	3	3	3	3	34		skillname143	skillld143	skillld143	skillname143	5												2				36	StrSkill3		usmc	256	74	leapspeed		clc2-100		74	StrSkill22		toht		36	StrSkillCooldownSingular	StrSkillCooldown	clc6	25	36	StrSkillRadiusSingular	StrSkill18	15+lvl/3	3						74	WeapDamsk		100		74	phystomagicdesc		min(100,skill('Berserk'.blvl)*5)																	40	Sksyn	skillname143	2		76	leapspeedsynergy	skillname132	par8		76	phystomagic	skillname152	par8		76	leapattackdoubledamagesynergy	ccmastery1	20		76	leapattackdoubledamagesynergy	strenght1	20												0
concentrate	1	2	3	1	36	63	skillname144	concentrate3	concentrate3	skillname144	7	clc1											1				36	StrSkill3		usmc	256	74	StrSkill21		ln34		74	StrSkillDamagePercent		clc1		74	StrSkill22		toht		74	buffphysicalresist		ast2		36	StrSkillDurationSingular	StrSkill20	len	25	36	StrSkillRadiusSingular	StrSkill18	6+lvl/3	3	74	WeapDamsk		100		74	magicresist		ast3												40	Sksyn	skillname144	2		76	Damplev	skillname139	par8		76	AttRateplev	overwhelm1	par8		76	MagicResistplev	skillname152	1		18	concentratecurseimmunity														0
iron skin	2	4	2	2	38	27	skillname145	skillld145	skillld145	skillname145																	36	StrSkill3		usmc	256	74	StrSkill21		pst1		74	ModStr2u		pst3		74	ModStr2uPercent		pst2												74	selfsynergyeffect		3																						40	Sksyn	skillname145	2		76	Defplev	axeswarm1	par8		76	Defplev	skillname151	par8		76	Defplev	skillname147	par8																	0
battle cry	3	6	1	3	40	24	skillname146	skillld146	skillld146	skillname146	5																36	StrSkill3		usmc	256	75	StrSkill39		enma	exma	74	targetsdesc		clc1		74	spiritsdesc		25/clc4												18	extraspirits				36	StrSkillCooldownSingular	StrSkillCooldown	clc6	25																40	Sksyn	skillname146	2		76	Magdplev	skillname130	par8		76	Magdplev	skillname137	par8		76	Magdplev	skillname154	par8		76	ancientwrathextratargets	skillname154	1		76	ancientwrathextratargets	ancientscall1	1							0
frenzy	1	3	2	1	42	26	skillname147	skillld147	skillld147	skillname147	5												1				75	StrSkillRunWalkRange		15*(par4-par3)/100+par3	dm34	75	StrSkillAttackSpeedRange		15*(par6-par5)/100+par5	dm56	74	StrSkill22		toht		75	frenzyCrit		15*(par6-par5)/100+par5	dm56	75	frenzyDamage		(15*(par6-par5)/100+par5)*8	dm56*8						75	numberofaxesrange		2+skill('Axe Swarm'.blvl)/5	ast5	36	axedistance	axedistance	rng*2	3	74	WeapDamsk		75		36	StrSkill3		usmc*2	256	36	StrSkillDurationSingular	StrSkill20	len	25	40	Sksyn	skillname147	2		76	numberofaxessynergy	axeswarm1	1		76	AttRateplev	skillname151	par8		76	Secplev2	vigor1	1																	0
increased speed	2	3	2	2	30		vigor1	vigor3	vigor3	vigor1																	74	ModStr2l		pst3		74	StrSkill89		pst1		6	ModStr1c2	StrSkill23	pst2																	74	selfsynergyeffect		3																																																									0
battle orders	3	2	2	3	46	54	skillname149	skillld149	skillld149	skillname149																	74	StrSkill102		ln34		74	StrSkill101		ast1		74	StrSkill100		ast2		36	StrSkillDurationSingular	StrSkill20	len	25											36	StrSkill3		usmc	256																					40	Sksyn	skillname149	2		74	battleorderssynergy		par7																											0
whirlwind	1	6	2	1	50		skillname151	whirlwind3	whirlwind3	skillname151	5												1				36	StrSkill3		usmc	256	74	StrSkill22		toht		74	whirlwindbaseaxes		clc1																	74	WeapDamsk		50		18	whirlwindaxeincrease																			40	Sksyn	skillname151	2		76	AttRateplev	skillname147	par8		76	whirlwinddodgesynergy	skillname145	1		76	whirlwindmagicabssynergy	skillname153	1																	0
berserk	1	5	3	1	52		skillname152	berserk3	berserk3	skillname152	6												2				36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	clc2	25	74	StrSkill22		toht																	74	WeapDamsk		200		74	StrSkill21		ast1		74	allmaxres		ast2		18	StrSkill206									40	Sksyn	skillname152	2		76	AttRateplev	skillname144	par7		76	berserkdefensesynergy	skillname145	5		18	berserkmaxressynergy																			0
natural resistance	2	6	2	2	54		skillname153	skillld153	skillld153	skillname153																	74	StrSkill54		pst1		74	StrSkill198		pst5																						74	selfsynergyeffect		3																																																									0
war cry	3	1	1	3	56	56	skillname154	skillld154	skillld154	skillname154	25	300	300														36	StrSkill3		usmc	256	74	magicdamagemin		enma*4		36	StrSkillRadiusSingular	StrSkill18	18+lvl/3	3																36	StrSkillStunLengthSingular	StrSkill48	25	25																					40	Sksyn	skillname154	2		76	Magdplev	skillname130	par8		76	Magdplev	skillname137	par8		76	Magdplev	skillname146	par8		76	warcrybonusnovasynergy	skillname146	1		76	warcrybonusnovasynergy	ancientscall1	1							0
battle command	3	4	2	3	58	55	skillname155	skillld155	skillld155	skillname155																	4	StrSkill121		ast1		36	StrSkillDurationSingular	StrSkill20	len	25																					36	StrSkill3		usmc	256																					40	Sksyn	skillname155	2		74	battlecommandsynergy		1																											0
scroll of identify	0	0	0	4	14		skillname217	skillld217	skillld217	skillname217																	56	scrollbooktext																																																																																									0
book of identify	0	0	0	4	14		skillname218	skillld218	skillld218	skillname218																	56	scrollbooktext																																																																																									0
scroll of townportal	0	0	0	4	18		skillname219	skillld219	skillld219	skillname219																	56	scrollbooktext																																																																																									0
book of townportal	0	0	0	4	18		skillname220	skillld220	skillld220	skillname220																	56	scrollbooktext																																																																																									0
raven	1	1	3	1	0		Skillname222	Skillld222	Skillld222	Skillname222																	36	StrSkill3		usmc	256	5	StrSkill208		clc4		75	StrSkill7		edmn	edmx	74	StrSkillDefense		clc3		13	StrSkill42		clc1		74	ravennumber		pets		74	StrSkill54		ast3																																																									0
wearwolf	2	1	1	2	20		Skillname224	Skillld224	Skillld224	Skillname224																	36	StrSkillDurationSingular	StrSkill20	len	25	4	StrSkill277		ast4		74	StrSkill106		ast3		74	StrSkill22		toht		74	StrSkillDamagePercent		ast1		74	StrSkill100		ast5		36	StrSkill3		usmc	256	74	StrSkill21		ast2		74	StrSkillDamagePercent		ast1												40	Sksyn	Skillname224	2		76	Damplev	Skillname229	par7		76	Defplev	Skillname229	par8																						0
shape shifting	2	2	2	2	52		Skillname225	shapeshifting3	shapeshifting3	Skillname225																	74	StrSkillDamagePercent		par7*lvl*(100+blvl*3)/100		74	lycantrophymorphlife		par3*lvl*(100+blvl*3)/100		74	StrSkill88		lvl*3*(100+blvl*3)/100		74	lycantrophymorphfcr		lvl*2/3*(100+blvl*3)/100		74	StrSkill21		par7*lvl*(100+blvl*3)/100		36	StrSkillDurationPlus		ln12	25	74	selfsynergyeffect		3																																																									0
firestorm	3	4	2	3	32	16	Skillname226	Skillld226	Skillld226	Skillname226	9																36	StrSkill3		usmc	256	75	StrSkillFireDamageAveragePerSecond		enms*25*3/256	exms*25*3/256	5	ESkillMiss		clc1		36	debuffduration	debuffduration	len	25	74	StrSkill220		ast1							18	elementalformrequirement																								40	Sksyn	Skillname226	2		76	Firedplev	Skillname245	par8		76	Firedplev	flameburst1	par8		76	Firedplev	elementalform1	par8		76	Firedplev	Skillname236	par8												0
summon spirit wolf	1	1	1	1	6		Skillname228	summonspiritwolf3	summonspiritwolf3	Skillname228																	36	StrSkill3		usmc	256	5	StrSkill208		clc4		75	StrSkill5		edmn	edmx	74	StrSkillDefense		clc3		13	StrSkill42		clc1		74	ESkillWolves		pets		74	StrSkill54		pst1																																																									0
