index	*ID	version	enabled	*Skip Generation	ladder	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
Secret of the Ooze	334	0	1			1	1	67	75	0yw	Sepulcher Wand		12	40000	lyel	lyel						tinkerflag2		25	35	aura-hidden	Secret of the Ooze Aura	1	1	kill-skill-hidden	Secret of the Ooze Reset	100	1	oskill	Poison Mastery Passive	1	1	regen		800	1000	kill-skill	Poison Surge	10	60	all-stats		40	50	mythicaldescnoflag	1169	1	1	allskills		1	3														0
Essence of Trang Oul	335	0	1			1	1	74	77	0bw	Callous Wand		13	45000	cred	cred		inv9bwu				tinkerflag2		25	35	oskill	Incinerate	10	20	pierce-fire		10	30	kill-skill	Fire Surge	50	30	enepercent		20	40	heal-kill		50	100	mana-kill		25	50	res-fire-max		3	5	res-cold		60	80	nofreeze		1	1										0
Song of the Damned	336	0	1			1	1	81	80	0gw	Demonic Wand		13	45000	blac	blac		inv9gwu				tinkerflag2		25	35	kill-skill	War Cry	17	60	kill-skill	Howl	5	60	kill-skill	Battle Command	5	60	oskill	Magic Mastery	1	1	aura	Sanctuary	10	25	gethit-skill	Shout	5	60	oskill	Battle Orders	10	20	allskills		1	3	all-stats		20	40										0
Fuego	337	100	1			1	1	18	14	am1	Stag Bow		7	15000	lred	lred						tinkerflag2		25	35	dmg-fire		100	200	dmg-fire/lvl	32			swing2		20	40	all-stats		10	20	move2		10	20	kill-skill	Fire Surge	100	5																						0
Scilla's Nimbleness	338	100	1			1	1	27	22	am2	Reflex Bow		8	20000	oran	oran						tinkerflag2		25	35	dmg%		150	250	swing1		40	40	att%		25	25	move2		20	30	slow		15	30	skill	Dodge	2	4	skill	Avoid	2	4	dexpercent		10	20														0
Kashya's Issue	339	0	1			1	1	37	30	apb	Precision Bow		9	25000	dgld	dgld						tinkerflag2		25	35	allskills		1	2	skilltab	0	1	2	swing2		20	30	extra-fire		10	15	extra-cold		10	15	extra-ltng		10	15	extra-pois		10	15	move2		30	30	hp		50	50	mana		50	50						0
Fluffy Rabbit's Hare-y Javelin	340	0	1			1	1	23	17	am5	Maiden Javelin		8	20000	cblu	cblu						tinkerflag2		25	35	noconsume		100	100	dmg%		110	150	swing2		20	20	dmg-cold/lvl	20			skilltab	1	1	3	deadly		15	15	manasteal		5	7	dmg-cold	150	100	300	pierce-ltng		10	15	pierce-fire		10	15		pierce-cold	10	15		0
Rod of Zerae	341	100	1			1	1	18	14	am3	Maiden Spear		7	15000	lyel	lyel						tinkerflag2		25	35	ama		1	1	dmg%		75	125	dmg-norm		20	30	swing1		30	30	abs-ltng%		1	3	hit-skill	Maelstrom Cascade Proc	3	20	gethit-skill	Static Field	20	15																		0
Lance of Celestia	342	100	1			1	1	27	22	am4	Maiden Pike		8	20000	oran	oran						tinkerflag2		25	35	ama		2	2	dmg%		160	190	swing1		40	40	deadly		20	20	res-all		10	30	str		20	30	dex		20	30	skill	Power of Athulua	5	10	crush		20	20										0
Oxhorn	343	100	1			1	1	39	29	am6	Ashwood Bow		9	25000	dgrn	dgrn						tinkerflag2		25	35	dmg%		150	200	dmg/lvl	8			str		25	50	dex		25	50	skill	Critical Strike	5	10	pierce		100	100	hit-skill	Amplify Damage	5	30																		0
Lycander's Aim	344	100	1			1	1	50	42	am7	Ceremonial Bow		11	35000	cgrn	cgrn						tinkerflag2		25	35	att		300	400	hit-skill	Arrow Hit Skill	15	30	deadly		25	50	dex		50	100	dmg%		150	200	dmg-min		40	50	manasteal		5	10	heal-kill		20	40														0
Robin Hood's Precision	345	0	1			1	1	59	52	9pb	Tuigan Bow		11	35000	cgrn	cgrn						tinkerflag2		25	35	mythicaldescnoflag	1170	1	1	aura-hidden	Robin Hood Precision Aura	1	1	total-attack-speed		-100	-100	weapon-mastery		1	1	pierce		100	100	pierce-fire		1	20	pierce-cold		1	20	pierce-ltng		1	20	gold%		200	200	skilltab	0	1	3						0
Titan's Revenge	346	0	1			1	1	50	42	ama	Ceremonial Javelin		11	35000	dred	dred						tinkerflag2		25	35	str		100	200	ease		200	200	hit-skill	Splintering Javelin	2	30	dmg%		200	300	dmg-max		80	100	hp		100	200	att%		100	200	hit-skill	Inner Sight	3	40	red-dmg		40	50	res-all		30	50						0
The Dragoon Shaft	347	100	1			1	1	43	32	am8	Ceremonial Spear		10	30000	dpur	dpur						tinkerflag2		25	35	kill-skill	Spike Nova Fire	20	40	move2		20	40	swing2		20	40	dmg%		200	250	allskills		1	2	dmg/lvl	16			pierce-fire		10	20	lifesteal		10	20	res-all-max		2	3										0
Lycander's Flank	348	100	1			1	1	50	42	am9	Ceremonial Pike		11	35000	dgrn	dgrn						tinkerflag2		25	35	ama		2	2	skilltab	2	1	1	dmg%		170	220	dmg-norm		25	50	swing2		30	30	ac%		100	200	red-dmg%		10	10	lifesteal		5	10	str		50	100	hit-skill	Arrow Hit Skill	10	20						0
Goldfinger	349	100	1			1	1	53	56	amb	Matriarchal Bow		11	35000	lgld	lgld						tinkerflag2		25	35	aura-hidden	Goldfinger Aura	1	1	mythicaldescnoflag	1171	1	1	skill	Ice Arrow	10	20	aura	Vigor	5	10	move2		30	50	pierce-ltng		10	30	allskills		1	2	gold%		100	200	kill-skill	Ice Arrow	5	60										0
Artemis' Wrath	350	100	1			1	1	78	62	amc	Grand Matron Bow		13	45000	blac	blac						tinkerflag2		25	35	move2		50	50	aura-hidden	Artemis Wrath Aura	1	1	kill-skill	Tornado Shot	5	60	dmg-norm		75	100	dmg%		200	300	swing2		20	30	crush		25	35	att		300	400	lifesteal		10	20	mythicaldescnoflag	1174	1	1						0
Maija's Menace	351	0	1			1	1	84	71	0pb	Elven Bow		13	45000	cgrn	cgrn						tinkerflag2		25	35	aura-hidden	Maija Menace Aura	1	1	hit-skill-hidden	Maija Menace Debuff	100	1	dmg%/lvl	24			dmg/lvl	24			deadly		30	40	mythicaldescnoflag	1172	1	1	dex		50	100	res-elem		40	50	ama		2	4	balance2		30	40						0
Zeus' Bolts	352	0	1			1	1	65	62	amf	MatriarchalJavelin		12	40000	bwht	bwht						tinkerflag2		25	35	noconsume		100	100	aura-hidden	Zeus Bolts Aura	1	1	dmg-max		1	200	dmg%/lvl	16			dmg%		100	200	abs-ltng%		5	5	reduce-ac		40	50	strpercent		20	30	pierce		100	100	oskill-hidden	Zeus Bolts Aura	1	1	mythicaldescnoflag	1173	1	1		0
Lightfoot	353	100	1			1	1	61	60	amd	Matriarchal Spear		12	40000	lblu	lblu						tinkerflag2		25	35	aura-hidden	Lightfoot Aura	1	1	gethit-skill	Fend	33	45	lifesteal		40	50	mythicaldescnoflag	1175	1	1	red-dmg%		10	20	dmg%		200	300	swing2		60	60	dmg-min		100	150	red-dmg		50	100	ease		-100	-100	weapon-mastery		5	5		0
Raiden's Staff	354	100	1			1	1	81	70	ame	Matriarchal Pike		13	45000	lyel			invraidenstaff				tinkerflag2		25	35	oskill	Reap Thunder	1	1	dmg%/lvl	32			dmg/lvl	32			dmg-max		1	100	res-ltng-max		5	5	heal-kill		80	100	deadly		40	50	slow		10	25	att		400	500										0
Ghoul's Touch	355	100	1			1	1	1	5	ktr	Katar		6	10000	dgry	dgry						tinkerflag2		25	35	dmg-cold	25	25	50	hit-skill	Decrepify	10	1	swing2		20	20	dmg%		75	100	lifesteal		3	5																										0
Diamond Cuff	356	100	1			1	1	7	9	wrb	Wrist Blade		6	10000	bwht	bwht						tinkerflag2		25	35	ltng-min		1	1	ltng-max		150	200	skilltab	20	1	2	swing2		40	40	dmg%		40	50	dmg-max		15	25	move2		20	20																		0
Shadow Slice	357	100	1			1	1	12	12	axf	Hatchet Hands		7	15000	blac	blac						tinkerflag2		25	35	red-dmg		5	10	dmg-mag		75	150	manasteal		4	8	dmg%		80	120	skilltab	19	1	2	slow		15	30																						0
Soulsear	358	100	1			1	1	15	13	ces	Cestus		7	15000	cblu	cblu						tinkerflag2		25	35	hit-skill	Lower Resist	3	20	swing2		30	30	kill-skill	Fire Surge	15	5	kill-skill	Cold Surge	15	5	kill-skill	Lightning Surge	15	5	dmg-fire		50	100	dmg-cold	75	40	80	dmg-ltng		1	180														0
Scratch of Persia	359	100	1			1	1	18	15	clw	Claws		7	15000	lgld	lgld						tinkerflag2		25	35	dmg-norm		10	20	swing1		10	10	res-all		10	10	skill	Dragon Fury	4	8	skill	Execute	4	8	gold%		50	100	mag%		30	60	dmg%		100	150														0
Threaded Spines	360	100	1			1	1	21	19	btl	Blade Talons		8	20000	dgrn	dgrn						tinkerflag2		25	35	aura	Thorns	5	15	thorns		250	400	thorns/lvl	40			kill-skill	Spike Nova Proc	15	1	deadly		25	50	dmg-norm		15	30	swing2		10	20																		0
Royal Grapple	361	100	1			1	1	24	22	skr	Scissors Katar		8	20000	dgld	dgld						tinkerflag2		25	35	extra-fire		10	15	extra-cold		10	15	extra-ltng		10	15	res-all		20	40	ease		100	100	swing2		50	50	skilltab	18	2	3	skilltab	20	2	3	move2		20	20	cast2		20	20						0
Phalzyr's Frenzy	362	100	1			1	1	37	29	njt	Ninja To		9	25000	blac	blac						tinkerflag2		25	35	dmg/lvl	12			swing3		40	80	att		50	200	att/lvl	8			dex		50	100	dex/lvl	8			dmg%		75	125	weapon-mastery		7	7														0
Ensnare	363	100	1			1	1	32	32	9ar	Quhab		8	20000	lgry	lgry						tinkerflag2		25	35	skilltab	18	2	4	ass		1	1	swing2		20	30	slow		20	40	hit-skill	Evade	3	25	hit-skill	Decrepify	3	25	dmg%		100	150	mana		80	120	regen-mana		80	100	regen		400	500						0
Quill Giant's Spine	364	100	1			1	1	32	29	9wb	Wrist Spike		9	25000	dpur	dpur						tinkerflag2		25	35	hit-skill	Arrow Hit Skill	33	20	kill-skill	Spike Nova Proc	20	20	dmg-min		20	30	dmg-max		40	50	dmg%		80	100	hp		80	100	skill	Blade Nova	5	10	skill	Dragon Talon	5	10														0
Sparkmonger	365	100	1			1	1	36	32	9xf	Fascia		9	25000	lyel	lyel						tinkerflag2		25	35	skill	Claws of Thunder	5	15	pierce-ltng		5	15	kill-skill	Static Field	5	20	kill-skill	Shock Field	10	20	swing2		50	50	res-ltng		60	75	mana-on-striking		1	1	red-dmg		20	40	hit-skill	Claws of Thunder Discharge	1	25										0
Doom's Apprentice	366	100	1			1	1	41	35	9cs	Hand Scythe		10	30000	blac	blac						tinkerflag2		25	35	hit-skill	Amplify Damage	3	30	kill-skill	Death Sentry	50	30	trap-limit		0	1	extra-fire		10	20	dmg%		100	200	dmg-norm		30	50	crush		25	50	lifesteal		5	10	red-dmg%		5	10										0
Scratch of the Elements	367	100	1			1	1	45	38	9lw	Greater Claws		10	30000	bwht	bwht						tinkerflag2		25	35	skill	Royal Strike	10	15	weapon-mastery		20	20	swing2		50	50	pierce-fire		1	20	pierce-cold		1	20	pierce-ltng		1	20	res-elem		30	50	regen		300	400	red-dmg		10	20										0
Fangs of the King Cobra	368	100	1			1	1	50	42	9tw	Greater Talons		11	35000	cgrn	cgrn						tinkerflag2		25	35	dmg-pois	256	4000	5000	aura-hidden	Fangs of the King Cobra Aura	1	1	heal-kill		40	60	dmg%		125	150	res-pois		50	50	res-pois-len		50	50	att		200	300	dmg-ac		-40	-50	mythicaldescnoflag	1176	1	1										0
Warpfist	369	100	1			1	1	54	45	9qr	Scissors Quhab		11	35000	lpur	lpur						tinkerflag2		25	35	oskill	Umbral Flight	20	40	oskill	Magic Mastery	1	5	item-skill-cooldown		10	20	cast2		20	40	swing2		60	60	dmg-mag		600	800	hit-skill	Magic Enhanced Axe	20	30	res-mag		5	15														0
Solistus' Masamune Edge	370	100	1			1	1	62	58	9nj	Wakizashi		12	40000	dblu	dblu						tinkerflag2		25	35	att-skill	SCold Missiles	100	40	kill-skill	Cold Surge	33	40	aura	Cold Pierce Aura	10	30	swing2		10	20	all-stats		33	55	cast2		80	100	gethit-skill	Time Stop	10	40	red-mag		20	40														0
Clavo Platino	371	100	1			1	1	52	55	7ar	Suwayyah		11	35000	dblu	dblu						tinkerflag2		25	35	aura-hidden	Clavo Platino Aura	1	1	mythicaldescnoflag	1177	1	1	deadly		50	100	ease		100	100	dmg-norm		40	60	dmg%		1	300	dmg-undead		400	500	dmg-demon		400	500	hit-skill	Amplify Damage	1	40										0
Excalibria	372	100	1			1	1	57	56	7wb	Wrist Sword		11	35000	bwht	bwht						tinkerflag2		25	35	ease		800	800	swing2		-30	-30	dmg-norm		150	200	dmg%		400	500	all-stats-percent		20	30	lifesteal		30	50	item-skill-cooldown		20	30	kill-skill	Spike Nova Proc	25	50														0
Polar Edge	373	100	1			1	1	62	58	7xf	War Fist		12	40000	lblu	lblu						tinkerflag2		25	35	hit-skill	Royal Strike Cold Discharge	1	60	pierce-cold		10	20	oskill	Cold Mastery	1	1	nofreeze		1	1	freeze		5	5	dmg-cold	250	1500	2000	item-skill-cooldown		10	15	regen		600	800	mythicaldescnoflag	1178	1	1										0
The Freedom of Imprisonment	374	100	1			1	1	67	61	7cs	Battle Cestus		12	40000	dgry	dgry						tinkerflag2		25	35	hit-skill-hidden	Freedom of Imprisonment Debuff	100	1	aura-hidden	Freedom of Imprisonment Aura	1	1	dmg%		150	200	dmg-max		75	125	dmg-ac		-25	-50	deadly		30	50	swing2		40	40	move2		40	40	balance2		40	40	lifesteal		10	20	mythicaldescnoflag	1179	1	1		0
Raja's Majesty	375	100	1			1	1	72	65	7lw	Feral Claws		13	45000	oran	oran						tinkerflag2		25	35	hit-skill	Cloak of Shadows	1	60	red-dmg%		10	20	swing2		20	30	dmg%		200	300	red-dmg		30	50	hit-skill	Magic Arrow	1	60	item-skill-cooldown		10	20	dmg-max		50	100	heal-kill		50	100										0
Viz-Jaq'taar's Invention	376	100	1			1	1	77	70	7tw	Runic Talons		13	45000	lgry	lgry						tinkerflag2		25	35	mythicaldescnoflag	1047	1	1	oskill-hidden	Trap Augmentation	1	1	trap-limit		1	2	pierce-fire		10	20	pierce-ltng		10	20	extra-fire		15	25	extra-ltng		15	25	allskills		1	2	swing2		30	40	regen-mana		100	200						0
Slight of Hand	377	100	1			1	1	82	68	7qr	Scissors Suwayyah		13	45000	blac	blac						tinkerflag2		25	35	oskill	Whirlwind	1	1	att-skill	Fists of Fire Discharge	6	60	att-skill	Claws of Thunder Discharge	6	60	att-skill	Blades of Ice Discharge	6	60	att-skill	Royal Strike Discharge	3	60	dmg-norm		100	125	extra-ele		20	30	life-on-striking		1	2	red-dmg%		10	20										0
Muramasa Sword	378	100	1			1	1	84	80	0nn	Katana		13	45000	blac	blac						tinkerflag2		25	35	allskills		1	1	dmg%		200	300	dmg%/lvl	16			swing2		50	50	ignore-ac		1	1	dex		30	50	skill	Cobra Strike	10	20	sock		2	3	dexpercent		10	20	hit-skill	Cobra Strike	2	40	hit-skill	Axe Proc	15	40		0
Larzuk's Aim	379	0	1			1	1	24	20	bts	Tribal Spear		8	20000	dyel	dyel						tinkerflag2		25	35	noconsume		100	100	skill	Hatchet Flurry	10	15	mana-on-striking		1	2	crush		50	50	swing2		80	80	att		200	300																						0
Malah's Aid	380	0	1			1	1	48	40	9xb	Highland Javelin		10	30000	oran	oran						tinkerflag2		25	35	noconsume		100	100	pierce		66	66	gethit-skill	Time Lapse	15	2	regen		400	600	skilltab	13	2	4	heal-kill		40	60	dmg%		200	300	dmg-norm		30	40	swing2		30	40	ac		200	300						0
Rising Sun	381	0	1			1	1	72	64	0xb	Mountain Clan Spear		13	45000	cred	cred						tinkerflag2		25	35	noconsume		100	100	hit-skill-hidden	Rising Sun Buff	100	1	oskill	Molten Focus	5	10	pierce-fire		20	30	hit-skill	Fire Enhanced Axe	15	40	kill-skill	Spike Nova Fire	8	40	pierce		100	100	att%		100	200	dmg%		100	200	mythicaldescnoflag	1180	1	1						0
Woodfist's Arm	382	100	1			1	1	5	10	shc	Oak Branch		6	10000	dgry	dgry						tinkerflag2		25	35	skilltab	17	1	2	move3		25	25	crush		25	25	deadly		25	25	skill	Elemental Form	2	4	enepercent		10	20	vit		20	30	mana		50	75	dmg-norm		15	30										0
Rakanishu's Staff	383	100	1			1	1	30	25	9sh	Shaman Wand		9	25000	blac	blac						tinkerflag2		25	35	kill-skill	Firestorm	17	30	pierce-fire		10	20	allskills		1	2	regen		600	800	regen-mana		150	250	cast2		20	40	res-all		30	50	kill-skill	Flameburst	17	30														0
Spirit of the Forest	384	100	1			1	1	55	55	0sh	Shillelagh		11	35000	oran			invshc				tinkerflag2		25	35	passive-summ-life		20	40	oskill	Summon Skeleton King	10	20	oskill	Skeleton Mastery	10	20	allskills		1	4	red-dmg%		10	10	res-all		20	40	cast2		50	50	aura	Prayer	4	7	extra-summ		10	20	oskill	Valkyrie	10	20	oskill	Valkyrie Mastery	10	20		0
Jugalator	385	0	1			1	1	33	26	nrd	Ritualistic Dagger		9	25000	cblu	cblu						tinkerflag2		25	35	kill-skill-hidden	The Last Rites Buff	100	1																																										0
Master of Puppets	386	0	1			1	1	10	19	nsy	Wretched Scythe		7	15000	dgry	dgry						tinkerflag2		25	35	nec		2	2	dmg%		150	180	skilltab	8	2	4	dmg-und/lvl	28			mana		40	80	mana/lvl	16			ac		150	150	skill	Raise Skeleton	2	4	skill	Summon Skeleton King	2	4	skill	Raise Skeletal Mage	2	4						0
The Touch of Death	387	0	1			1	1	37	29	syn	Dread Scythe		9	25000	lpur	lpur						tinkerflag2		25	35	nec		2	2	dmg%		80	120	dmg/lvl	8			crush		33	33	cast3		30	30	mana%		25	25	skilltab	6	4	7	hit-skill	Poison Dagger	2	17	swing2		30	30										0
Jr Eyes	388	0	1			1	1	60	50	9rd	Sacrificial Dagger		12	40000	dgry	dgry						tinkerflag2		25	35	hit-skill	Stun Proc	5	30	dmg%		300	400	att%		200	200	red-dmg%		10	20	regen		400	500	lifesteal		10	20	dmg-max		1	125																		0
Blade of the Reaper	389	0	1			1	1	35	42	9ns	Dire Scythe		9	25000	blac	blac						tinkerflag2		25	35	nec		3	4	reduce-ac		50	100	deadly		100	100	dmg-max		100	200	dmg%		150	250	kill-skill	Poison Dagger	25	40	pierce-pois		10	20	skill	Bone Armor	10	20	red-dmg		15	30	red-mag		15	30						0
Death's Scythe	390	0	1			1	1	52	45	9sy	Doom Blade		11	35000	blac	blac						tinkerflag2		25	35	heal-kill		100	100	red-dmg%		50	50	res-all		-30	-30	kill-skill	Amplify Damage	33	40	kill-skill	Decrepify	33	40	kill-skill	Iron Maiden	33	40	weapon-mastery		11	11	hp		400	400	dmg%		400	400										0
The Last Rites	391	0	1			1	1	78	74	0rd	Ceremonial Dagger		13	45000	cblu	cblu						tinkerflag2		25	35	nec		3	3	dmg%		333	333	dmg-max		33	333	mythicaldescnoflag	1181	1	1	lifesteal		33	33	deadly		33	33	crush		33	33	kill-skill	Spike Nova Proc	17	40	red-dmg%		20	30										0
Bone Reaver	392	0	1			1	1	60	61	0ns	Soul Scythe		12	40000	whit	whit						tinkerflag2		25	35	nec		4	4	dmg-mag		2000	3000	swing2		50	50	skilltab	7	3	6	att-skill	Bone Wall	33	30	dmg-und/lvl	64			att-skill	Teeth	50	60	hit-skill	Bone Armor	5	60	skill	Bone Mastery	10	20	oskill	Whirlwind	1	1						0
Blade of Corruption	393	0	1			1	1	75	71	0sy	Soul Destroyer		13	45000	blac	blac						tinkerflag2		25	35	nec		4	4	dmg-norm		150	200	deadly		75	75	swing2		50	50	hp%		50	50	oskill	Dodge	15	15	slow		75	75	dmg%/lvl	24			res-all-max		5	5	hit-skill-hidden	Corruption Debuff	15	1						0
Sunblade	394	0	1			1	1	36	27	pbe	Blessed Edge		9	25000	oran	oran						tinkerflag2		25	35	hit-skill	Fire Bolt	3	15	att-skill	Conflagrate	5	20	pierce-fire		10	15	regen		200	300	swing2		20	30	dmg-fire		100	200	aura	Holy Fire	10	15	dmg-fire/lvl	32																0
Excalibur	395	0	1			1	1	62	55	9be	Divine Blade		12	40000	lyel	lyel						tinkerflag2		25	35	pal		1	1	allskills		2	2	dmg%		200	250	deadly		50	50	crush		50	50	ignore-ac		1	1	dmg-norm		40	50	str		30	40	strpercent		30	40	ease		300	300	hit-skill	Devastating Shock Wave	1	30		0
Holy Avenger	396	0	1			1	1	84	76	0be	Celestial Blade		13	45000	bwht	bwht						tinkerflag2		25	35	att-skill	Blessed Hammer	66	60	att-skill	Fist of the Heavens	5	60	dmg-undead		400	500	dmg-demon		400	500	dmg-mag		1000	2000	oskill	Whirlwind	1	1	res-pois-len		50	75	life-on-striking		2	3	ac%		500	500										0
Xiao Ji Ji	397	100	1			1	1	3	7	ob1	Eagle Orb		6	10000	oran	oran						tinkerflag2		25	35	regen-mana		80	100	allskills		1	1	cast2		10	20	hp		50	50	mana		50	50	regen		160	200																						0
Cruel Heart	398	100	1			1	1	8	10	ob2	Sacred Globe		6	10000	dred	dred						tinkerflag2		25	35	skilltab	3	1	3	skilltab	4	1	3	skilltab	5	1	3	cast1		20	20	vit		15	15	dex		15	15	mana-kill		3	5	ac/lvl	16			skill	Warmth	3	6	sock		1	1						0
Hell's Torment	399	100	1			1	1	16	16	ob3	Smoked Sphere		7	15000	cred	cred						tinkerflag2		25	35	kill-skill	Cold Surge	100	3	skill	Glacial Spike	3	6	mana-kill		10	20	skill	Ice Bolt	3	6	cast2		30	30	move2		20	20	sock		1	1																		0
Drannor's Claw	400	100	1			1	1	20	19	ob4	Clasped Orb		8	20000	dgry	dgry						tinkerflag2		25	35	dmg%		300	500	swing3		40	80	dmg-mag		30	50	manasteal		33	33	mana-kill		4	8	skill	Enchant	4	4	indestruct		1	1	fireskill		1	1	lifesteal		4	8										0
Orb of the Red Dragon	401	100	1			1	1	24	22	ob5	Dragon Stone		8	20000	cred	cred						tinkerflag2		25	35	fireskill		2	2	regen		400	500	ease		100	100	kill-skill	Rain of Fire	17	10	hp		80	100	extra-fire		10	15	skill	Immolation	3	5	mana-kill		10	10														0
Infinite Thought	402	0	1			1	1	37	31	mnb	Mana Blade		9	25000	cblu	cblu						tinkerflag2		25	35	sor		1	1	dmg%		100	500	manasteal		25	25	mana-kill		6	12	mana		50	100	regen-mana		80	80	enepercent		10	20	hit-skill	Time Stop	1	20	kill-skill	Zap	17	25	kill-skill	Scorch	17	25	kill-skill	Ice Bolt	17	25		0
Azimuth's Regard	403	100	1			1	1	28	30	ob6	Glowing Orb		8	20000	dyel	dyel						tinkerflag2		25	35	sor		2	2	mana/lvl	12			regen		200	300	regen-mana		80	100	red-dmg%		10	10	red-mag		10	15	res-all		20	30	oskill	Bone Armor	10	20	sock		2	2										0
Apocalypse Stone	404	100	1			1	1	36	34	ob7	Crystalline Globe		9	25000	dred	dred						tinkerflag2		25	35	skilltab	3	2	3	pierce-fire		10	15	kill-skill	Fire Surge	100	10	skill	Blaze	5	10	heal-kill		20	30	mana-kill		20	30	red-dmg		10	20	red-mag		10	20														0
Magica Strife	405	100	1			1	1	45	33	ob8	Cloudy Sphere		10	30000	lblu	lblu						tinkerflag2		25	35	skill	Telekinesis	5	10	skill	Static Field	5	10	regen		250	500	cast2		10	30	mana		100	200	oskill	Magic Mastery	1	1	kill-skill	Fist of the Heavens	17	25	kill-skill	Magic Surge	5	60														0
Auraura's Jewel	406	100	1			1	1	50	40	ob9	Sparkling Ball		11	35000	bwht	bwht						tinkerflag2		25	35	sor		1	1	skilltab	4	2	4	kill-skill	Zap	25	30	pierce-ltng		10	20	cast2		20	20	res-all		25	50	mana-kill		10	20	mana		30	90	gethit-skill	Time Stop	25	40										0
The Oculus	407	100	1			1	1	50	42	oba	Swirling Crystal		11	35000	dblu	dblu						tinkerflag2		25	35	allskills		1	5	cast2		40	40	res-all		20	20	ac%		30	30	vit		10	30	enr		10	30	mana-kill		10	20	mag%		100	200	skill	Teleport	50	50										0
The Secret of Mana	408	0	1			1	1	62	52	9mn	Energy Blade		12	40000	cblu	cblu						tinkerflag2		25	35	mana%		80	100	regen-mana		300	500	mana-on-striking		1	2	sor		1	2	swing2		40	50	hit-skill	Telekinesis	10	50	pierce-ltng		10	20	skill	Static Field	10	20														0
Orb of the Horadrim	409	100	1			1	1	53	55	obb	Heavenly Stone		11	35000	oran	oran						tinkerflag2		25	35	aura-hidden	Orb of the Horadrim Aura	1	1	mythicaldescnoflag	1184	1	1	oskill	Fire Mastery	1	1	oskill	Cold Mastery	1	1	oskill	Lightning Mastery	1	1	skill	Molten Focus	5	15	skill	Glacial Focus	5	15	skill	Static Focus	5	15	allskills		3	3	enr		1	100	hp		1	200		0
Wrath of Asmodeus	410	100	1			1	1	61	57	obc	Eldritch Orb		12	40000	dred	dred						tinkerflag2		25	35	kill-skill-hidden	Wrath of Asmodeus Buff	100	1	kill-skill-hidden	Wrath of Asmodeus Conflagrate	100	60	mythicaldescnoflag	1185	1	1	kill-skill	Fire Surge	100	30	pierce-fire		20	30	allskills		2	3	heal-kill		40	60	mana-kill		20	30	res-fire-max		5	5	red-dmg		25	50	red-mag		25	50		0
Heart of the Succubi	411	100	1			1	1	70	61	obd	Demon Heart		13	45000	blac	blac						tinkerflag2		25	35	kill-skill-hidden	Heart of the Succubi Counter	100	1	aura-hidden	Heart of the Succubi Aura	1	1	mythicaldescnoflag	1186	1	1	res-all		40	60	enepercent		20	30	mana%		20	40	allskills		1	3	res-all-max		3	5	regen-mana		150	200	res-pois-len		50	75						0
Baal's Eye	412	100	1			1	1	79	66	obe	Vortex Orb		13	45000	blac	blac						tinkerflag2		25	35	oskill	Hell Pendulum	10	20	oskill	Lower Resist	5	10	pierce-cold		15	25	skill	Glacial Focus	5	13	gethit-skill	Orb of Winter	5	45	allskills		1	3	regen-mana		100	150	heal-kill		50	75	all-stats		20	40										0
Spacial Distortion	413	100	1			1	1	84	70	obf	Dimensional Shard		13	45000	bwht	bwht						tinkerflag2		25	35	allskills		1	1	sor		2	4	mana%		50	50	cast3		50	50	oskill	Shadow Master	15	30	pierce-ltng		15	30	extra-ltng		15	30	oskill	Wake of Fire Sentry	15	30	extra-summ		80	100	passive-summ-life		80	100						0
Blade of the Fallen Angel	414	0	1			1	1	84	71	0mn	Magic Blade		13	45000	blac	blac						tinkerflag2		25	35	hit-skill	Ice Bolt	5	60	hit-skill	Fire Bolt	5	60	hit-skill	Zap	5	60	pierce-fire		10	30	pierce-cold		10	30	pierce-ltng		10	30	mana-on-striking		3	5	swing2		50	50	kill-skill	Fire Surge	15	60	kill-skill	Cold Surge	15	60	kill-skill	Lightning Surge	15	60		0
Cap of the Raven	415	0	1			1	1	4	4	cap	Cap		6	10000	dpur	dpur		invcapu				tinkerflag2		25	35	dmg-min		5	5	att		25	45	mana		10	10	hp		10	10	dmg/lvl	4			skilltab	15	1	1	hp/lvl	8			oskill	Raven	3	5														0
Warriors Coif	416	0	1			1	1	20	15	skp	Skull Cap		8	20000	oran	oran						tinkerflag2		25	35	ac		15	15	balance3		20	20	str/lvl	5			thorns/lvl	80			ac/lvl	8			att%		35	50	swing1		20	30	thorns		100	200	dmg-norm		10	15										0
Obsidian Helm	417	0	1			1	1	19	14	hlm	Helm		7	15000	whit	whit		invhlmu				tinkerflag2		25	35	ac		125	150	res-all		20	40	res-all-max		1	3	hp		50	50	hp/lvl	8																												0
Sparhawk's Spirit	418	0	1			1	1	34	21	eht	Spirit Crown		9	25000	whit	whit						tinkerflag2		25	35	lifesteal		7	15	manasteal		15	15	ease		-100	-100	aura	Redemption	1	1	allskills		1	1	pierce		20	50	dex/lvl	12			dmg-norm		10	20														0
