Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	*ItemProbSum	*ItemProbTotal	*TreasureClassDropChance	ladder	noAlwaysSpawn	*eol
Treehead WoodFist			-3						Act 1 Super C	1																								0
Treehead WoodFist (N)			-3						Act 1 (N) Super C	1																								0
Treehead WoodFist (H)			-3						Act 1 (H) Super C	1																								0
Treehead WoodFist (H) Desecrated			-2					0	Treehead WoodFist (H)	1	Worldstone Shards	1																						0
Act 1 Ultra			1	768	820	922	1024	25	"gld,mul=512"	15	Act 1 Equip C	50	Act 1 Junk	5	Act 1 UGood	5																		0
Act 2 Ultra			1	768	820	922	1024	25	"gld,mul=512"	15	Act 2 Equip C	50	Act 2 Junk	5	Act 2 UGood	5																		0
Act 3 Ultra			1	768	820	922	1024	25	"gld,mul=512"	15	Act 3 Equip C	50	Act 3 Junk	5	Act 3 UGood	5																		0
Act 4 Ultra			1	768	820	922	1024	25	"gld,mul=512"	15	Act 4 Equip B	50	Act 4 Junk	5	Act 4 UGood	5																		0
Act 5 Ultra			1	768	820	922	1024	25	"gld,mul=512"	15	Act 5 Equip C	50	Act 5 Junk	5	Act 5 UGood	5																		0
Act 1 (N) Ultra			1	768	820	922	1024	25	"gld,mul=512"	15	Act 1 (N) Equip C	50	Act 1 (N) Junk	5	Act 1 (N) UGood	5																		0
Act 2 (N) Ultra			1	768	820	922	1024	25	"gld,mul=512"	15	Act 2 (N) Equip C	50	Act 2 (N) Junk	5	Act 2 (N) UGood	5																		0
Act 3 (N) Ultra			1	768	820	922	1024	25	"gld,mul=512"	15	Act 3 (N) Equip C	50	Act 3 (N) Junk	5	Act 3 (N) UGood	5																		0
Act 4 (N) Ultra			1	768	820	922	1024	25	"gld,mul=512"	15	Act 4 (N) Equip B	50	Act 4 (N) Junk	5	Act 4 (N) UGood	5																		0
Act 5 (N) Ultra			1	768	820	922	1024	25	"gld,mul=512"	15	Act 5 (N) Equip C	50	Act 5 (N) Junk	5	Act 5 (N) UGood	5																		0
Act 1 (H) Ultra			1	768	820	922	1024	25	"gld,mul=512"	15	Act 1 (H) Equip C	50	Act 1 (H) Junk	5	Act 1 (H) UGood	5																		0
Act 2 (H) Ultra			1	768	820	922	1024	25	"gld,mul=512"	15	Act 2 (H) Equip C	50	Act 2 (H) Junk	5	Act 2 (H) UGood	5																		0
Act 3 (H) Ultra			1	768	820	922	1024	25	"gld,mul=512"	15	Act 3 (H) Equip C	50	Act 3 (H) Junk	5	Act 3 (H) UGood	5																		0
Act 4 (H) Ultra			1	768	820	922	1024	25	"gld,mul=512"	15	Act 4 (H) Equip B	50	Act 4 (H) Junk	5	Act 4 (H) UGood	5																		0
Act 5 (H) Ultra			1	768	820	922	1024	25	"gld,mul=512"	15	Act 5 (H) Equip C	50	Act 5 (H) Junk	5	Act 5 (H) UGood	5																		0
Act 5 Uber			1	768	820	922	1024	25	"gld,mul=512"	15	Act 5 Equip C	50	Act 5 Junk	5	Act 5 UGood	5																		0
Act 5 (N) Uber			1	768	820	922	1024	25	"gld,mul=512"	15	Act 5 (N) Equip C	50	Act 5 (N) Junk	5	Act 5 (N) UGood	5																		0
Act 5 (H) Uber			1	768	820	922	1024	25	"gld,mul=512"	15	Act 5 (H) Equip C	50	Act 5 (H) Junk	5	Act 5 (H) UGood	5																		0
Guardian Map Drop			1						z01	1	z02	1	z03	1	z04	1	Nothing	16																0
Countess Rune			1						Runes 6	1	Runes 3	1																						0
Countess Rune (N)			1						Runes 11	1	Runes 5	1																						0
Countess Rune (H)			1						Runes 16	1	Runes 10	1																						0
Countess			-6						Act 1 Ultra	3	Countess Rune	3																						0
Countess (N)			-6						Act 1 (N) Ultra	3	Countess Rune (N)	3																						0
Countess (H)			-6						Act 1 (H) Ultra	3	Countess Rune (H)	3																						0
Blood Raven			6						Act 1 Ultra	160	Unique Ore 11	1																						0
Blood Raven (N)			6						Act 1 (N) Ultra	80	Unique Ore 11	1																						0
Blood Raven (H)			6						Act 1 (H) Ultra	40	Unique Ore 11	1																						0
Griswold			6						Act 1 Ultra	160	Unique Ore 9	1																						0
Griswold (N)			6						Act 1 (N) Ultra	80	Unique Ore 9	1																						0
Griswold (H)			6						Act 1 (H) Ultra	40	Unique Ore 9	1																						0
Radament			6						Act 2 Ultra	160	Unique Ore 8	1																						0
Radament (N)			6						Act 2 (N) Ultra	80	Unique Ore 8	1																						0
Radament (H)			6						Act 2 (H) Ultra	40	Unique Ore 8	1																						0
Summoner			6						Act 2 Ultra	160	Unique Ore 7	1																						0
Summoner (N)			6						Act 2 (N) Ultra	80	Unique Ore 7	1																						0
Summoner (H)			6						Act 2 (H) Ultra	40	Unique Ore 7	1																						0
Sarina			6						Act 5 Ultra	160	Unique Ore 11	1																						0
Sarina (N)			6						Act 5 (H) Ultra	80	Unique Ore 11	1																						0
Sarina (H)			6						Act 5 (H) Ultra	40	Unique Ore 11	1																						0
Izual			5						Act 4 Ultra	1																								0
Izual (N)			5						Act 4 (N) Ultra	1																								0
Izual (H)			5						Act 4 (H) Ultra	1																								0
Haphesto			4						Act 4 Ultra	160	Unique Ore 6	1																						0
Haphesto (N)			4						Act 4 (N) Ultra	80	Unique Ore 6	1																						0
Haphesto (H)			4						Act 4 (H) Ultra	40	Unique Ore 6	1																						0
Seal			4						Act 4 Ultra	100	Unique Ore 2	1																						0
Seal (N)			4						Act 4 (N) Ultra	50	Unique Ore 2	1																						0
Seal (H)			4						Act 4 (H) Ultra	25	Unique Ore 2	1																						0
Cow King			6						Act 5 Ultra	1																								0
Cow King (N)			6						Act 5 (H) Ultra	1																								0
Cow King (H)			6						Act 5 (H) Ultra	1																								0
Treant King			6						Act 5 Uber	100	Unique Ore 10	1																						0
Treant King (N)			6						Act 5 (N) Uber	50	Unique Ore 10	1																						0
Treant King (H)			6						Act 5 (H) Uber	25	Unique Ore 10	1																						0
Reporb			6						Act 5 Uber	100	Unique Ore 6	1																						0
Reporb (N)			6						Act 5 (N) Uber	50	Unique Ore 6	1																						0
Reporb (H)			6						Act 5 (H) Uber	25	Unique Ore 6	1																						0
Reziarfg			6						Act 5 Uber	100	Unique Ore 8	1																						0
Reziarfg (N)			6						Act 5 (N) Uber	50	Unique Ore 8	1																						0
Reziarfg (H)			6						Act 5 (H) Uber	25	Unique Ore 8	1																						0
Guardian0			6						Act 5 Uber	100	Unique Ore 1	1																						0
Guardian0 (N)			6						Act 5 (N) Uber	50	Unique Ore 1	1																						0
Guardian0 (H) Base			6						Act 5 (H) Uber	25	Unique Ore 1	1																						0
Guardian0 (H)			-2					0	Guardian Map Drop	1	Guardian0 (H) Base	1																						0
Guardian1			6						Act 5 Uber	100	Unique Ore 11	1																						0
Guardian1 (N)			6						Act 5 (N) Uber	50	Unique Ore 11	1																						0
Guardian1 (H) Base			6						Act 5 (H) Uber	25	Unique Ore 11	1																						0
Guardian1 (H)			-3					0	Guardian Map Drop	1	Pandemonium Key A	1	Guardian1 (H) Base	1																				0
Guardian2			6						Act 5 Uber	100	Unique Ore 0	1																						0
Guardian2 (N)			6						Act 5 (N) Uber	50	Unique Ore 0	1																						0
Guardian2 (H) Base			6						Act 5 (H) Uber	25	Unique Ore 0	1																						0
Guardian2 (H)			-3					0	Guardian Map Drop	1	Pandemonium Key B	1	Guardian2 (H) Base	1																				0
Guardian3			6						Act 5 Uber	100	Unique Ore 9	1																						0
Guardian3 (N)			6						Act 5 (N) Uber	50	Unique Ore 9	1																						0
Guardian3 (H) Base			6						Act 5 (H) Uber	25	Unique Ore 9	1																						0
Guardian3 (H)			-3					0	Guardian Map Drop	1	Pandemonium Key C	1	Guardian3 (H) Base	1																				0
Guardian4			6						Act 5 Uber	100	Unique Ore 7	1																						0
Guardian4 (N)			6						Act 5 (N) Uber	50	Unique Ore 7	1																						0
Guardian4 (H) Base			6						Act 5 (H) Uber	25	Unique Ore 7	1																						0
Guardian4 (H)			-3					0	Guardian Map Drop	1	Guardian4 (H) Base	1																						0
Nihlathak			6	820	820	922	1024		"gld,mul=768"	15	Act 5 Equip C	180	Act 5 Junk	12	Act 5 UGood	30	Unique Ore 0	3																0
Nihlathak (N)			6	820	820	922	1024		"gld,mul=768"	15	Act 5 (N) Equip C	180	Act 5 (N) Junk	12	Act 5 (N) UGood	30	Unique Ore 0	6																0
Nihlathak (H) Base			6	820	820	922	1024		"gld,mul=768"	15	Act 5 (H) Equip C	180	Act 5 (H) Junk	12	Act 5 (H) UGood	30	Unique Ore 0	12																0
Nihlathak (H)			-2					0	Guardian Map Drop	1	Nihlathak (H) Base	1																						0
Andariel Base			10	820	820	922	1024	150	"gld,mul=768"	15	Act 2 Equip A	180	Act 2 Junk	12	Act 2 UGood	30	Unique Ore 5	2																0
Andariel (N) Base			10	820	820	922	1024	150	"gld,mul=768"	15	Act 2 (N) Equip A	180	Act 2 (N) Junk	12	Act 2 (N) UGood	30	Unique Ore 5	4																0
Andariel (H) Base			10	820	820	922	1024	150	"gld,mul=768"	15	Act 2 (H) Equip A	180	Act 2 (H) Junk	12	Act 2 (H) UGood	30	Unique Ore 5	6																0
Andariel			1						Sets02	2	Andariel Base	245																						0
Andariel (N)			1						Sets04	2	Andariel (N) Base	245																						0
Andariel (H)			1						Sets06	2	Andariel (H) Base	245																						0
Andarielq			1						Sets02	5	Andariel Base	245																						0
Andarielq (N)			1						Sets04	5	Andariel (N) Base	245																						0
Andarielq (H)			1						Sets06	5	Andariel (H) Base	245																						0
Duriel Base			12	820	820	922	1024	150	"gld,mul=768"	15	Act 3 Equip A	180	Act 3 Junk	12	Act 3 UGood	30	Unique Ore 4	2																0
Duriel (N) Base			12	820	820	922	1024	150	"gld,mul=768"	15	Act 3 (N) Equip A	180	Act 3 (N) Junk	12	Act 3 (N) UGood	30	Unique Ore 4	4																0
Duriel (H) Base			12	820	820	922	1024	150	"gld,mul=768"	15	Act 3 (H) Equip A	180	Act 3 (H) Junk	12	Act 3 (H) UGood	30	Unique Ore 4	6																0
Duriel			1						Sets02	2	Duriel Base	245																						0
Duriel (N)			1						Sets04	2	Duriel (N) Base	245																						0
Duriel (H)			1						Sets06	2	Duriel (H) Base	245																						0
Durielq			1						Sets02	5	Duriel Base	245																						0
Durielq (N)			1						Sets04	5	Duriel (N) Base	245																						0
Durielq (H)			1						Sets06	5	Duriel (H) Base	245																						0
Mephisto Base			14	820	820	922	1024	150	"gld,mul=768"	15	Act 4 Equip B	180	Act 4 Junk	12	Act 4 UGood	30	Unique Ore 3	2																0
Mephisto (N) Base			14	820	820	922	1024	150	"gld,mul=768"	15	Act 4 (N) Equip B	180	Act 4 (N) Junk	12	Act 4 (N) UGood	30	Unique Ore 3	4																0
Mephisto (H) Base			14	820	820	922	1024	150	"gld,mul=768"	15	Act 4 (H) Equip B	180	Act 4 (H) Junk	12	Act 4 (H) UGood	30	Unique Ore 3	6																0
Mephisto			1						Sets03	2	Mephisto Base	245																						0
Mephisto (N)			1						Sets05	2	Mephisto (N) Base	245																						0
Mephisto (H)			1						Sets07	2	Mephisto (H) Base	245																						0
Mephistoq			1						Sets03	5	Mephisto Base	245																						0
Mephistoq (N)			1						Sets05	5	Mephisto (N) Base	245																						0
Mephistoq (H)			1						Sets07	5	Mephisto (H) Base	245																						0
Diablo Base			16	820	820	922	1024	150	"gld,mul=768"	15	Act 5 Equip A	180	Act 5 Junk	12	Act 5 UGood	30																		0
Diablo (N) Base			16	820	820	922	1024	150	"gld,mul=768"	15	Act 5 (N) Equip A	180	Act 5 (N) Junk	12	Act 5 (N) UGood	30																		0
Diablo (H) Base			16	820	820	922	1024	150	"gld,mul=768"	15	Act 5 (H) Equip A	180	Act 5 (H) Junk	12	Act 5 (H) UGood	30																		0
Diablo			1						Sets01	2	Diablo Base	250																						0
Diablo (N)			1						Sets04	2	Diablo (N) Base	250																						0
Diablo (H)			1						Sets08	2	Diablo (H) Base	250																						0
Diabloq			1						Sets01	5	Diablo Base	250																						0
Diabloq (N)			1						Sets04	5	Diablo (N) Base	250																						0
Diabloq (H)			1						Sets08	5	Diablo (H) Base	250																						0
Baal			18	820	820	922	1024	150	"gld,mul=768"	15	Act 5 Equip C	180	Act 5 Junk	12	Act 5 UGood	30	Unique Ore 1	5																0
Baal (N)			18	820	820	922	1024	150	"gld,mul=768"	15	Act 5 (N) Equip C	180	Act 5 (N) Junk	12	Act 5 (N) UGood	30	Unique Ore 1	10																0
Baal (H)			18	820	820	922	1024	150	"gld,mul=768"	15	Act 5 (H) Equip C	180	Act 5 (H) Junk	12	Act 5 (H) UGood	30	Unique Ore 1	15																0
Baalq			-2					0	ag0	1	Baal	1																						0
Baalq (N)			-2					0	ag1	1	Baal (N)	1																						0
Baalq (H)			-2					0	ag2	1	Baal (H)	1																						0
ROP Rare Charm			1			1024			cx1	1	cx2	1	cx3	1																				0
ROP Charm			1						Unique Charm Small	10	cx1	20	cx2	20	cx3	20	ROP Rare Charm	30																0
ROP - Base			-6						Act 5 Ultra	5	Unique Ore 2	1																						0
ROP (N) - Base			-6						Act 5 (N) Ultra	5	Unique Ore 2	1																						0
ROP (H) - Base			-6						Act 5 (H) Ultra	5	Unique Ore 2	1																						0
ROP			1						ROP Charm	1	ROP - Base	1																						0
ROP (N)			1						ROP Charm	1	ROP (N) - Base	1																						0
ROP (H)			1	1024				6	Annihilus	3	ROP Charm	3																						0
Trapped Soul			1					66	Gold	19	A4A	8	Act 4 Junk	33																				0
Trapped Soul (N)			1					66	Gold	19	A4A (N)	8	Act 4 (N) Junk	33																				0
Trapped Soul (H)			1					66	Gold	19	A4A (H)	8	Act 4 (H) Junk	33																				0
A1A None			1						A1A	3840	Act 1 Junk	768	Nothing	1792	Ore	1																		0
A1B None			1						A1B	3840	Act 1 Junk	768	Nothing	1792	Ore	1																		0
A1C None			1						A1C	3840	Act 1 Junk	768	Nothing	1792	Ore	1																		0
A2A None			1						A2A	3840	Act 2 Junk	768	Nothing	1792	Ore	1																		0
A2B None			1						A2B	3840	Act 2 Junk	768	Nothing	1792	Ore	1																		0
A2C None			1						A2C	3840	Act 2 Junk	768	Nothing	1792	Ore	1																		0
A3A None			1						A3A	3840	Act 3 Junk	768	Nothing	1792	Ore	1																		0
A3B None			1						A3B	3840	Act 3 Junk	768	Nothing	1792	Ore	1																		0
A3C None			1						A3C	3840	Act 3 Junk	768	Nothing	1792	Ore	1																		0
A4A None			1						A4A	3840	Act 4 Junk	768	Nothing	1792	Ore	1																		0
A4B None			1						A4B	3840	Act 4 Junk	768	Nothing	1792	Ore	1																		0
A5A None			1						A5A	3840	Act 5 Junk	768	Nothing	1792	Ore	1	hrt	40																0
A5B None			1						A5B	3840	Act 5 Junk	768	Nothing	1792	Ore	1	hrt	40																0
A5C None			1						A5C	3840	Act 5 Junk	768	Nothing	1792	Ore	1	hrt	40																0
A1A Hrt			1						A1A	3840	Act 1 Junk	768	Nothing	1792	Ore	1	hrt	40																0
A1B Hrt			1						A1B	3840	Act 1 Junk	768	Nothing	1792	Ore	1	hrt	40																0
A1C Hrt			1						A1C	3840	Act 1 Junk	768	Nothing	1792	Ore	1	hrt	40																0
A2A Hrt			1						A2A	3840	Act 2 Junk	768	Nothing	1792	Ore	1	hrt	40																0
A2B Hrt			1						A2B	3840	Act 2 Junk	768	Nothing	1792	Ore	1	hrt	40																0
A2C Hrt			1						A2C	3840	Act 2 Junk	768	Nothing	1792	Ore	1	hrt	40																0
A3A Hrt			1						A3A	3840	Act 3 Junk	768	Nothing	1792	Ore	1	hrt	40																0
A3B Hrt			1						A3B	3840	Act 3 Junk	768	Nothing	1792	Ore	1	hrt	40																0
A3C Hrt			1						A3C	3840	Act 3 Junk	768	Nothing	1792	Ore	1	hrt	40																0
A4A Hrt			1						A4A	3840	Act 4 Junk	768	Nothing	1792	Ore	1	hrt	40																0
A4B Hrt			1						A4B	3840	Act 4 Junk	768	Nothing	1792	Ore	1	hrt	40																0
A5A Hrt			1						A5A	3840	Act 5 Junk	768	Nothing	1792	Ore	1	hrt	40																0
A5B Hrt			1						A5B	3840	Act 5 Junk	768	Nothing	1792	Ore	1	hrt	40																0
A5C Hrt			1						A5C	3840	Act 5 Junk	768	Nothing	1792	Ore	1	hrt	40																0
A1A Brz			1						A1A	3840	Act 1 Junk	768	Nothing	1792	Ore	1	brz	40																0
A1B Brz			1						A1B	3840	Act 1 Junk	768	Nothing	1792	Ore	1	brz	40																0
A1C Brz			1						A1C	3840	Act 1 Junk	768	Nothing	1792	Ore	1	brz	40																0
A2A Brz			1						A2A	3840	Act 2 Junk	768	Nothing	1792	Ore	1	brz	40																0
A2B Brz			1						A2B	3840	Act 2 Junk	768	Nothing	1792	Ore	1	brz	40																0
A2C Brz			1						A2C	3840	Act 2 Junk	768	Nothing	1792	Ore	1	brz	40																0
A3A Brz			1						A3A	3840	Act 3 Junk	768	Nothing	1792	Ore	1	brz	40																0
A3B Brz			1						A3B	3840	Act 3 Junk	768	Nothing	1792	Ore	1	brz	40																0
A3C Brz			1						A3C	3840	Act 3 Junk	768	Nothing	1792	Ore	1	brz	40																0
A4A Brz			1						A4A	3840	Act 4 Junk	768	Nothing	1792	Ore	1	brz	40																0
A4B Brz			1						A4B	3840	Act 4 Junk	768	Nothing	1792	Ore	1	brz	40																0
A5A Brz			1						A5A	3840	Act 5 Junk	768	Nothing	1792	Ore	1	brz	40																0
A5B Brz			1						A5B	3840	Act 5 Junk	768	Nothing	1792	Ore	1	brz	40																0
A5C Brz			1						A5C	3840	Act 5 Junk	768	Nothing	1792	Ore	1	brz	40																0
A1A Jaw			1						A1A	3840	Act 1 Junk	768	Nothing	1792	Ore	1	jaw	40																0
A1B Jaw			1						A1B	3840	Act 1 Junk	768	Nothing	1792	Ore	1	jaw	40																0
A1C Jaw			1						A1C	3840	Act 1 Junk	768	Nothing	1792	Ore	1	jaw	40																0
A2A Jaw			1						A2A	3840	Act 2 Junk	768	Nothing	1792	Ore	1	jaw	40																0
A2B Jaw			1						A2B	3840	Act 2 Junk	768	Nothing	1792	Ore	1	jaw	40																0
A2C Jaw			1						A2C	3840	Act 2 Junk	768	Nothing	1792	Ore	1	jaw	40																0
A3A Jaw			1						A3A	3840	Act 3 Junk	768	Nothing	1792	Ore	1	jaw	40																0
A3B Jaw			1						A3B	3840	Act 3 Junk	768	Nothing	1792	Ore	1	jaw	40																0
A3C Jaw			1						A3C	3840	Act 3 Junk	768	Nothing	1792	Ore	1	jaw	40																0
A4A Jaw			1						A4A	3840	Act 4 Junk	768	Nothing	1792	Ore	1	jaw	40																0
A4B Jaw			1						A4B	3840	Act 4 Junk	768	Nothing	1792	Ore	1	jaw	40																0
A5A Jaw			1						A5A	3840	Act 5 Junk	768	Nothing	1792	Ore	1	jaw	40																0
A5B Jaw			1						A5B	3840	Act 5 Junk	768	Nothing	1792	Ore	1	jaw	40																0
A5C Jaw			1						A5C	3840	Act 5 Junk	768	Nothing	1792	Ore	1	jaw	40																0
A1A Eyz			1						A1A	3840	Act 1 Junk	768	Nothing	1792	Ore	1	eyz	40																0
A1B Eyz			1						A1B	3840	Act 1 Junk	768	Nothing	1792	Ore	1	eyz	40																0
A1C Eyz			1						A1C	3840	Act 1 Junk	768	Nothing	1792	Ore	1	eyz	40																0
A2A Eyz			1						A2A	3840	Act 2 Junk	768	Nothing	1792	Ore	1	eyz	40																0
A2B Eyz			1						A2B	3840	Act 2 Junk	768	Nothing	1792	Ore	1	eyz	40																0
A2C Eyz			1						A2C	3840	Act 2 Junk	768	Nothing	1792	Ore	1	eyz	40																0
A3A Eyz			1						A3A	3840	Act 3 Junk	768	Nothing	1792	Ore	1	eyz	40																0
A3B Eyz			1						A3B	3840	Act 3 Junk	768	Nothing	1792	Ore	1	eyz	40																0
A3C Eyz			1						A3C	3840	Act 3 Junk	768	Nothing	1792	Ore	1	eyz	40																0
A4A Eyz			1						A4A	3840	Act 4 Junk	768	Nothing	1792	Ore	1	eyz	40																0
A4B Eyz			1						A4B	3840	Act 4 Junk	768	Nothing	1792	Ore	1	eyz	40																0
A5A Eyz			1						A5A	3840	Act 5 Junk	768	Nothing	1792	Ore	1	eyz	40																0
A5B Eyz			1						A5B	3840	Act 5 Junk	768	Nothing	1792	Ore	1	eyz	40																0
A5C Eyz			1						A5C	3840	Act 5 Junk	768	Nothing	1792	Ore	1	eyz	40																0
A1A Hrn			1						A1A	3840	Act 1 Junk	768	Nothing	1792	Ore	1	hrn	40																0
A1B Hrn			1						A1B	3840	Act 1 Junk	768	Nothing	1792	Ore	1	hrn	40																0
A1C Hrn			1						A1C	3840	Act 1 Junk	768	Nothing	1792	Ore	1	hrn	40																0
A2A Hrn			1						A2A	3840	Act 2 Junk	768	Nothing	1792	Ore	1	hrn	40																0
A2B Hrn			1						A2B	3840	Act 2 Junk	768	Nothing	1792	Ore	1	hrn	40																0
A2C Hrn			1						A2C	3840	Act 2 Junk	768	Nothing	1792	Ore	1	hrn	40																0
A3A Hrn			1						A3A	3840	Act 3 Junk	768	Nothing	1792	Ore	1	hrn	40																0
A3B Hrn			1						A3B	3840	Act 3 Junk	768	Nothing	1792	Ore	1	hrn	40																0
A3C Hrn			1						A3C	3840	Act 3 Junk	768	Nothing	1792	Ore	1	hrn	40																0
A4A Hrn			1						A4A	3840	Act 4 Junk	768	Nothing	1792	Ore	1	hrn	40																0
A4B Hrn			1						A4B	3840	Act 4 Junk	768	Nothing	1792	Ore	1	hrn	40																0
A5A Hrn			1						A5A	3840	Act 5 Junk	768	Nothing	1792	Ore	1	hrn	40																0
A5B Hrn			1						A5B	3840	Act 5 Junk	768	Nothing	1792	Ore	1	hrn	40																0
A5C Hrn			1						A5C	3840	Act 5 Junk	768	Nothing	1792	Ore	1	hrn	40																0
A1A Tal			1						A1A	3840	Act 1 Junk	768	Nothing	1792	Ore	1	tal	40																0
A1B Tal			1						A1B	3840	Act 1 Junk	768	Nothing	1792	Ore	1	tal	40																0
A1C Tal			1						A1C	3840	Act 1 Junk	768	Nothing	1792	Ore	1	tal	40																0
A2A Tal			1						A2A	3840	Act 2 Junk	768	Nothing	1792	Ore	1	tal	40																0
A2B Tal			1						A2B	3840	Act 2 Junk	768	Nothing	1792	Ore	1	tal	40																0
A2C Tal			1						A2C	3840	Act 2 Junk	768	Nothing	1792	Ore	1	tal	40																0
A3A Tal			1						A3A	3840	Act 3 Junk	768	Nothing	1792	Ore	1	tal	40																0
A3B Tal			1						A3B	3840	Act 3 Junk	768	Nothing	1792	Ore	1	tal	40																0
A3C Tal			1						A3C	3840	Act 3 Junk	768	Nothing	1792	Ore	1	tal	40																0
A4A Tal			1						A4A	3840	Act 4 Junk	768	Nothing	1792	Ore	1	tal	40																0
A4B Tal			1						A4B	3840	Act 4 Junk	768	Nothing	1792	Ore	1	tal	40																0
A5A Tal			1						A5A	3840	Act 5 Junk	768	Nothing	1792	Ore	1	tal	40																0
A5B Tal			1						A5B	3840	Act 5 Junk	768	Nothing	1792	Ore	1	tal	40																0
A5C Tal			1						A5C	3840	Act 5 Junk	768	Nothing	1792	Ore	1	tal	40																0
A1A Flg			1						A1A	3840	Act 1 Junk	768	Nothing	1792	Ore	1	flg	40																0
A1B Flg			1						A1B	3840	Act 1 Junk	768	Nothing	1792	Ore	1	flg	40																0
A1C Flg			1						A1C	3840	Act 1 Junk	768	Nothing	1792	Ore	1	flg	40																0
A2A Flg			1						A2A	3840	Act 2 Junk	768	Nothing	1792	Ore	1	flg	40																0
A2B Flg			1						A2B	3840	Act 2 Junk	768	Nothing	1792	Ore	1	flg	40																0
A2C Flg			1						A2C	3840	Act 2 Junk	768	Nothing	1792	Ore	1	flg	40																0
A3A Flg			1						A3A	3840	Act 3 Junk	768	Nothing	1792	Ore	1	flg	40																0
A3B Flg			1						A3B	3840	Act 3 Junk	768	Nothing	1792	Ore	1	flg	40																0
A3C Flg			1						A3C	3840	Act 3 Junk	768	Nothing	1792	Ore	1	flg	40																0
A4A Flg			1						A4A	3840	Act 4 Junk	768	Nothing	1792	Ore	1	flg	40																0
A4B Flg			1						A4B	3840	Act 4 Junk	768	Nothing	1792	Ore	1	flg	40																0
A5A Flg			1						A5A	3840	Act 5 Junk	768	Nothing	1792	Ore	1	flg	40																0
A5B Flg			1						A5B	3840	Act 5 Junk	768	Nothing	1792	Ore	1	flg	40																0
A5C Flg			1						A5C	3840	Act 5 Junk	768	Nothing	1792	Ore	1	flg	40																0
A1A Fng			1						A1A	3840	Act 1 Junk	768	Nothing	1792	Ore	1	fng	40																0
A1B Fng			1						A1B	3840	Act 1 Junk	768	Nothing	1792	Ore	1	fng	40																0
A1C Fng			1						A1C	3840	Act 1 Junk	768	Nothing	1792	Ore	1	fng	40																0
A2A Fng			1						A2A	3840	Act 2 Junk	768	Nothing	1792	Ore	1	fng	40																0
A2B Fng			1						A2B	3840	Act 2 Junk	768	Nothing	1792	Ore	1	fng	40																0
A2C Fng			1						A2C	3840	Act 2 Junk	768	Nothing	1792	Ore	1	fng	40																0
A3A Fng			1						A3A	3840	Act 3 Junk	768	Nothing	1792	Ore	1	fng	40																0
A3B Fng			1						A3B	3840	Act 3 Junk	768	Nothing	1792	Ore	1	fng	40																0
A3C Fng			1						A3C	3840	Act 3 Junk	768	Nothing	1792	Ore	1	fng	40																0
A4A Fng			1						A4A	3840	Act 4 Junk	768	Nothing	1792	Ore	1	fng	40																0
A4B Fng			1						A4B	3840	Act 4 Junk	768	Nothing	1792	Ore	1	fng	40																0
A5A Fng			1						A5A	3840	Act 5 Junk	768	Nothing	1792	Ore	1	fng	40																0
A5B Fng			1						A5B	3840	Act 5 Junk	768	Nothing	1792	Ore	1	fng	40																0
A5C Fng			1						A5C	3840	Act 5 Junk	768	Nothing	1792	Ore	1	fng	40																0
A1A Qll			1						A1A	3840	Act 1 Junk	768	Nothing	1792	Ore	1	qll	40																0
A1B Qll			1						A1B	3840	Act 1 Junk	768	Nothing	1792	Ore	1	qll	40																0
A1C Qll			1						A1C	3840	Act 1 Junk	768	Nothing	1792	Ore	1	qll	40																0
A2A Qll			1						A2A	3840	Act 2 Junk	768	Nothing	1792	Ore	1	qll	40																0
A2B Qll			1						A2B	3840	Act 2 Junk	768	Nothing	1792	Ore	1	qll	40																0
A2C Qll			1						A2C	3840	Act 2 Junk	768	Nothing	1792	Ore	1	qll	40																0
A3A Qll			1						A3A	3840	Act 3 Junk	768	Nothing	1792	Ore	1	qll	40																0
A3B Qll			1						A3B	3840	Act 3 Junk	768	Nothing	1792	Ore	1	qll	40																0
A3C Qll			1						A3C	3840	Act 3 Junk	768	Nothing	1792	Ore	1	qll	40																0
A4A Qll			1						A4A	3840	Act 4 Junk	768	Nothing	1792	Ore	1	qll	40																0
A4B Qll			1						A4B	3840	Act 4 Junk	768	Nothing	1792	Ore	1	qll	40																0
A5A Qll			1						A5A	3840	Act 5 Junk	768	Nothing	1792	Ore	1	qll	40																0
A5B Qll			1						A5B	3840	Act 5 Junk	768	Nothing	1792	Ore	1	qll	40																0
A5C Qll			1						A5C	3840	Act 5 Junk	768	Nothing	1792	Ore	1	qll	40																0
A1A Sol			1						A1A	3840	Act 1 Junk	768	Nothing	1792	Ore	1	sol	40																0
A1B Sol			1						A1B	3840	Act 1 Junk	768	Nothing	1792	Ore	1	sol	40																0
A1C Sol			1						A1C	3840	Act 1 Junk	768	Nothing	1792	Ore	1	sol	40																0
A2A Sol			1						A2A	3840	Act 2 Junk	768	Nothing	1792	Ore	1	sol	40																0
A2B Sol			1						A2B	3840	Act 2 Junk	768	Nothing	1792	Ore	1	sol	40																0
A2C Sol			1						A2C	3840	Act 2 Junk	768	Nothing	1792	Ore	1	sol	40																0
